abundance	豐富；充裕	⠁⠃⠥⠝⠙⠨⠑
miniature	微型的；小規模的	⠍⠔⠊⠁⠞⠥⠗⠑
minimal	最小的；最低限度的	⠍⠔⠊⠍⠁⠇
minuscule	極小的；微小的	⠍⠔⠥⠎⠉⠥⠇⠑
minutely	詳細地；精細地	⠍⠔⠥⠞⠑⠇⠽
modification	修改；改進	⠍⠕⠙⠊⠋⠊⠉⠁⠰⠝
momentous	重大的；關鍵的	⠍⠕⠰⠞⠳⠎
monotonous	單調乏味的；無變化的	⠍⠕⠝⠕⠞⠕⠝⠳⠎
motiveless	無動機的；無理由的	⠍⠕⠞⠊⠧⠑⠨⠎
mount	增加；登上	⠍⠨⠞
narrow	狹窄的；縮小	⠝⠜⠗⠪
nearly	幾乎；差不多	⠝⠑⠜⠇⠽
nevertheless	然而；儘管如此	⠝⠐⠑⠮⠨⠎
notwithstanding	儘管；雖然	⠝⠕⠞⠾⠌⠯⠬
obsession	痴迷；困擾	⠕⠃⠎⠑⠎⠨⠝
obtain	獲得；取得	⠕⠃⠞⠁⠔
obvious	明顯的；顯而易見的	⠕⠃⠧⠊⠳⠎
occasion	場合；時機	⠕⠒⠁⠨⠝
occasionally	偶爾；有時	⠕⠒⠁⠨⠝⠁⠇⠇⠽
occur	發生；出現	⠕⠒⠥⠗
occurrence	發生；事件	⠕⠒⠥⠗⠗⠰⠑
offset	抵消；補償	⠷⠋⠎⠑⠞
ongoing	正在進行的；持續的	⠕⠝⠛⠕⠬
operation	操作；運作	⠕⠏⠻⠁⠰⠝
orchestrate	策劃；安排	⠕⠗⠡⠑⠌⠗⠁⠞⠑
orientation	定向；方向	⠕⠗⠊⠢⠞⠁⠰⠝
ornamental	裝飾的；觀賞的	⠕⠗⠝⠁⠰⠞⠁⠇
outbreak	爆發；突發	⠳⠞⠃⠗⠂⠅
outcome	結果；後果	⠳⠞⠉⠕⠍⠑
outermost	最外面的；最遠的	⠳⠞⠻⠍⠕⠌
overstate	誇大；誇張	⠕⠧⠻⠌⠁⠞⠑
overview	概述；綜覽	⠕⠧⠻⠧⠊⠑⠺
overwhelming	壓倒性的；令人不知所措的	⠕⠧⠻⠱⠑⠇⠍⠬
paradoxical	矛盾的；似是而非的	⠏⠜⠁⠙⠕⠭⠊⠉⠁⠇
particular	特定的；特別的	⠐⠏⠊⠉⠥⠇⠜
pastime	消遣；娛樂	⠏⠁⠎⠐⠞
patch	補丁；修補	⠏⠁⠞⠡
peak	頂峰；最高點	⠏⠂⠅
peculiarity	特點；怪癖	⠏⠑⠉⠥⠇⠊⠜⠰⠽
penetrate	穿透；滲透	⠏⠢⠑⠞⠗⠁⠞⠑
perceptible	可察覺的；顯而易見的	⠏⠻⠉⠑⠏⠞⠊⠃⠇⠑
peril	危險；風險	⠏⠻⠊⠇
perilous	危險的；冒險的	⠏⠻⠊⠇⠳⠎
periodically	定期地；週期性地	⠏⠻⠊⠕⠙⠊⠉⠁⠇⠇⠽
periphery	邊緣；外圍	⠏⠻⠊⠏⠓⠻⠽
perishable	易腐的；易壞的	⠏⠻⠊⠩⠁⠃⠇⠑
permanent	永久的；持久的	⠏⠻⠍⠁⠝⠢⠞
permeate	滲透；瀰漫	⠏⠻⠍⠂⠞⠑
permit	允許；許可證	⠏⠻⠍⠊⠞
perpetual	永久的；不斷的	⠏⠻⠏⠑⠞⠥⠁⠇
persistent	堅持不懈的；持續的	⠏⠻⠎⠊⠌⠢⠞
pertinent	相關的；切題的	⠏⠻⠞⠔⠢⠞
pervasive	無處不在的；普遍的	⠏⠻⠧⠁⠎⠊⠧⠑
phenomenal	非凡的；驚人的	⠏⠓⠢⠕⠍⠢⠁⠇
phenomenon	現象；奇蹟	⠏⠓⠢⠕⠍⠢⠕⠝
piecing	拼接；組合	⠏⠊⠑⠉⠬
pigmentation	色素沉著；染色	⠏⠊⠛⠰⠞⠁⠰⠝
pinnacle	頂峰；頂點	⠏⠔⠝⠁⠉⠇⠑
pinpoint	精確定位；準確描述	⠏⠔⠏⠕⠔⠞
pledge	保證；誓言	⠏⠇⠫⠛⠑
plentiful	豐富的；充足的	⠏⠇⠢⠞⠊⠰⠇
poisonous	有毒的；有害的	⠏⠕⠊⠎⠕⠝⠳⠎
portion	部分；一部分	⠏⠕⠗⠰⠝
postulate	假定；假設	⠏⠕⠌⠥⠇⠁⠞⠑
potent	強效的；有力的	⠏⠕⠞⠢⠞
potential	潛力；可能的	⠏⠕⠞⠢⠞⠊⠁⠇
precarious	不穩定的；危險的	⠏⠗⠑⠉⠜⠊⠳⠎
precede	在......之前；領先	⠏⠗⠑⠉⠫⠑
precious	珍貴的；貴重的	⠏⠗⠑⠉⠊⠳⠎
precision	精確；準確性	⠏⠗⠑⠉⠊⠨⠝
predicament	困境；窘境	⠏⠗⠫⠊⠉⠁⠰⠞
prediction	預測；預言	⠏⠗⠫⠊⠉⠰⠝
predominant	主要的；占優勢的	⠏⠗⠫⠕⠍⠔⠁⠝⠞
preordain	注定；預定	⠏⠗⠑⠕⠗⠙⠁⠔
prerequisite	先決條件；前提	⠏⠗⠻⠑⠟⠥⠊⠎⠊⠞⠑
preserve	保護；保存	⠏⠗⠑⠎⠻⠧⠑
prevailing	盛行的；普遍的	⠏⠗⠑⠧⠁⠊⠇⠬
prevalent	流行的；普遍的	⠏⠗⠑⠧⠁⠇⠢⠞
primarily	主要地；首要地	⠏⠗⠊⠍⠜⠊⠇⠽
primitive	原始的；簡單的	⠏⠗⠊⠍⠊⠞⠊⠧⠑
principle	原則；原理	⠏⠗⠔⠉⠊⠏⠇⠑
prior	之前的；優先的	⠏⠗⠊⠕⠗
pristine	原始的；嶄新的	⠏⠗⠊⠌⠔⠑
prized	珍貴的；寶貴的	⠏⠗⠊⠵⠫
profitable	有利可圖的；賺錢的	⠏⠗⠷⠊⠞⠁⠃⠇⠑
profound	深刻的；意義深遠的	⠏⠗⠷⠨⠙
projection	預測；投影	⠏⠗⠕⠚⠑⠉⠰⠝
proliferation	激增；擴散	⠏⠗⠕⠇⠊⠋⠻⠁⠰⠝
prolong	延長；拖延	⠏⠗⠕⠇⠰⠛
prominent	突出的；重要的	⠏⠗⠕⠍⠔⠢⠞
pronounced	明顯的；顯著的	⠏⠗⠕⠝⠳⠝⠉⠫
property	財產；屬性	⠏⠗⠕⠏⠻⠞⠽
proponent	支持者；倡導者	⠏⠗⠕⠏⠕⠝⠢⠞
prosperity	繁榮；昌盛	⠏⠗⠕⠎⠏⠻⠰⠽
prosperous	繁榮的；富裕的	⠏⠗⠕⠎⠏⠻⠳⠎
protest	抗議；反對	⠏⠗⠕⠞⠑⠌
prowess	英勇；高超技藝	⠏⠗⠪⠑⠎⠎
proximity	接近；鄰近	⠏⠗⠕⠭⠊⠍⠰⠽
quarters	住處；四分之一	⠟⠥⠜⠞⠻⠎
ramification	後果；分支	⠗⠁⠍⠊⠋⠊⠉⠁⠰⠝
rare	稀有的；罕見的	⠗⠜⠑
readily	樂意地；容易地	⠗⠂⠙⠊⠇⠽
realm	領域；範圍	⠗⠂⠇⠍
rebound	反彈；恢復	⠗⠑⠃⠨⠙
recharge	充電；恢復精力	⠗⠑⠡⠜⠛⠑
refine	提煉；改善	⠗⠑⠋⠔⠑
refreshing	清新的；令人耳目一新的	⠗⠑⠋⠗⠑⠩⠬
regardless	不管；無論如何	⠗⠑⠛⠜⠙⠨⠎
remarkable	非凡的；顯著的	⠗⠑⠍⠜⠅⠁⠃⠇⠑
remedy	補救措施；治療法	⠗⠑⠍⠫⠽
render	使成為；提供	⠗⠢⠙⠻
renowned	著名的；有聲望的	⠗⠢⠪⠝⠫
repercussion	影響；後果	⠗⠑⠏⠻⠉⠥⠎⠨⠝
replacement	替代品；更換	⠗⠑⠏⠇⠁⠉⠑⠰⠞
reputation	聲譽；名聲	⠗⠑⠏⠥⠞⠁⠰⠝
resemblance	相似；相像	⠗⠑⠎⠑⠍⠃⠇⠨⠑
residences	住所；住宅	⠗⠑⠎⠊⠙⠰⠑⠎
resilient	有彈性的；適應力強的	⠗⠑⠎⠊⠇⠊⠢⠞
restrict	限制；約束	⠗⠑⠌⠗⠊⠉⠞
resuscitation	復甦；搶救	⠗⠑⠎⠥⠎⠉⠊⠞⠁⠰⠝
retain	保留；保持	⠗⠑⠞⠁⠔
retreat	撤退；退卻	⠗⠑⠞⠗⠂⠞
reveal	揭示；透露	⠗⠑⠧⠂⠇
revenues	收入；收益	⠗⠑⠧⠢⠥⠑⠎
revolution	革命；重大變革	⠗⠑⠧⠕⠇⠥⠰⠝
ridiculous	荒謬的；可笑的	⠗⠊⠙⠊⠉⠥⠇⠳⠎
rigorous	嚴格的；嚴厲的	⠗⠊⠛⠕⠗⠳⠎
robust	強健的；堅固的	⠗⠕⠃⠥⠌
rotation	旋轉；輪換	⠗⠕⠞⠁⠰⠝
roughly	大約；粗略地	⠗⠳⠣⠇⠽
roundabout	環島；迂迴的	⠗⠨⠙⠁⠃
route	路線；路徑	⠗⠳⠞⠑
rudiment	基本原理；初步	⠗⠥⠙⠊⠰⠞
rudimentary	基本的；初步的	⠗⠥⠙⠊⠰⠞⠜⠽
sacred	神聖的；莊嚴的	⠎⠁⠉⠗⠫
satisfied	滿意的；滿足的	⠎⠁⠞⠊⠎⠋⠊⠫
scarce	稀缺的；不足的	⠎⠉⠜⠉⠑
scatter	散播；分散	⠎⠉⠁⠞⠞⠻
scented	有香味的；芬芳的	⠎⠉⠢⠞⠫
scorching	灼熱的；極熱的	⠎⠉⠕⠗⠡⠬
screen	螢幕；篩選	⠎⠉⠗⠑⠢
scrutinize	仔細檢查；審查	⠎⠉⠗⠥⠞⠔⠊⠵⠑
sedentary	久坐的；不活動的	⠎⠫⠢⠞⠜⠽
seething	激昂的；沸騰的	⠎⠑⠑⠹⠬
segment	部分；片段	⠎⠑⠛⠰⠞
separate	分開；獨立的	⠎⠑⠏⠜⠁⠞⠑
serene	平靜的；安詳的	⠎⠻⠢⠑
settled	定居的；穩定的	⠎⠑⠞⠞⠇⠫
severe	嚴重的；嚴厲的	⠎⠑⠧⠻⠑
shallow	淺的；膚淺的	⠩⠁⠇⠇⠪
shape	形狀；塑造	⠩⠁⠏⠑
shatter	打碎；破碎	⠩⠁⠞⠞⠻
sheer	純粹的；陡峭的	⠩⠑⠻
shield	盾牌；保護	⠩⠊⠑⠇⠙
shipment	運輸；裝運	⠩⠊⠏⠰⠞
shiver	顫抖；發抖	⠩⠊⠧⠻
shock	震驚；衝擊	⠩⠕⠉⠅
showcase	展示；陳列	⠩⠪⠉⠁⠎⠑
shrink	收縮；縮小	⠩⠗⠔⠅
shuffle	洗牌；拖曳	⠩⠥⠖⠇⠑
simulated	模擬的；模擬的	⠎⠊⠍⠥⠇⠁⠞⠫
simultaneously	同時地；同步地	⠎⠊⠍⠥⠇⠞⠁⠝⠑⠳⠎⠇⠽
singularly	特別地；異常地	⠎⠬⠥⠇⠜⠇⠽
sink	下沉；洗滌槽	⠎⠔⠅
slightly	稍微；輕微地	⠎⠇⠊⠣⠞⠇⠽
solitary	孤獨的；獨自的；單獨的	⠎⠕⠇⠊⠞⠜⠽
sophisticated	精緻的；複雜的；世故的	⠎⠕⠏⠓⠊⠌⠊⠉⠁⠞⠫
sought-after	受歡迎的；搶手的	⠎⠐⠳⠤⠁⠋
spacious	寬敞的；廣闊的	⠎⠏⠁⠉⠊⠳⠎
spark	火花；引發；激發	⠎⠏⠜⠅
sparse	稀疏的；稀少的；零星的	⠎⠏⠜⠎⠑
speciation	物種形成；物種分化	⠎⠏⠑⠉⠊⠁⠰⠝
specified	指定的；規定的	⠎⠏⠑⠉⠊⠋⠊⠫
spectacular	壯觀的；驚人的；令人驚嘆的	⠎⠏⠑⠉⠞⠁⠉⠥⠇⠜
speed	速度；迅速；加速	⠎⠏⠑⠫
sphere	球體；領域；範圍	⠎⠏⠐⠓
splendor	輝煌；壯麗；光彩	⠎⠏⠇⠢⠙⠕⠗
spontaneous	自發的；自然的；無計劃的	⠎⠏⠕⠝⠞⠁⠝⠑⠳⠎
spread	展開；傳播；散布	⠎⠏⠗⠂⠙
stabilize	使穩定；使堅固；穩固	⠌⠁⠃⠊⠇⠊⠵⠑
staggering	令人震驚的；難以置信的；巨大的	⠌⠁⠶⠻⠬
staple	主要的；基本的；主食	⠌⠁⠏⠇⠑
staunch	堅定的；忠誠的；堅固的	⠌⠁⠥⠝⠡
steadfast	堅定的；不動搖的；忠實的	⠌⠂⠙⠋⠁⠌
stealthily	偷偷地；秘密地；悄悄地	⠌⠂⠇⠹⠊⠇⠽
stem	阻止；遏制；莖	⠌⠑⠍
stimulate	刺激；激勵；促進	⠌⠊⠍⠥⠇⠁⠞⠑
stimulus	刺激；刺激物；激勵	⠌⠊⠍⠥⠇⠥⠎
stockpile	儲備；囤積；庫存	⠌⠕⠉⠅⠏⠊⠇⠑
stress	壓力；強調；緊張	⠌⠗⠑⠎⠎
stretch	伸展；延伸；拉長	⠌⠗⠑⠞⠡
strictly	嚴格地；嚴密地；完全地	⠌⠗⠊⠉⠞⠇⠽
stride	大步；進展；步伐	⠌⠗⠊⠙⠑
strike	打擊；罷工；敲擊	⠌⠗⠊⠅⠑
striking	顯著的；引人注目的；驚人的	⠌⠗⠊⠅⠬
stringent	嚴格的；嚴厲的；緊縮的	⠌⠗⠬⠢⠞
strip	剝去；條帶；脫衣	⠌⠗⠊⠏
stroll	漫步；閒逛	⠌⠗⠕⠇⠇
sturdy	結實的；堅固的；堅定的	⠌⠥⠗⠙⠽
stylus	觸控筆；唱針；雕刻工具	⠌⠽⠇⠥⠎
subjected	使遭受；使服從	⠎⠥⠃⠚⠑⠉⠞⠫
subsequent	隨後的；後來的	⠎⠥⠃⠎⠑⠟⠥⠢⠞
subsidiary	附屬的；子公司；次要的	⠎⠥⠃⠎⠊⠙⠊⠜⠽
substantial	大量的；實質的；堅固的	⠎⠥⠃⠌⠁⠝⠞⠊⠁⠇
substantiate	證實；使實體化；加強	⠎⠥⠃⠌⠁⠝⠞⠊⠁⠞⠑
substitute	替代；替補；替代品	⠎⠥⠃⠌⠊⠞⠥⠞⠑
succession	連續；繼承；一連串	⠎⠥⠒⠑⠎⠨⠝
suited	適合的；相稱的；配對的	⠎⠥⠊⠞⠫
sumptuous	奢華的；豪華的；富麗堂皇的	⠎⠥⠍⠏⠞⠥⠳⠎
superior	優越的；上級的；較好的	⠎⠥⠏⠻⠊⠕⠗
supplement	補充；增補；補品	⠎⠥⠏⠏⠇⠑⠰⠞
supposition	假設；推測；猜想	⠎⠥⠏⠏⠕⠎⠊⠰⠝
surveillance	監視；監督；監控	⠎⠥⠗⠧⠑⠊⠇⠇⠨⠑
suspected	被懷疑的；疑似的	⠎⠥⠎⠏⠑⠉⠞⠫
sustain	支持；承受；維持	⠎⠥⠌⠁⠔
synthesis	合成；綜合；結合	⠎⠽⠝⠮⠎⠊⠎
tailspin	混亂；急劇下降；失控	⠞⠁⠊⠇⠎⠏⠔
tantalizing	撩人的；誘人的；令人著迷的	⠞⠁⠝⠞⠁⠇⠊⠵⠬
technique	技術；技巧；方法	⠞⠑⠡⠝⠊⠟⠥⠑
tedious	乏味的；單調的；冗長的	⠞⠫⠊⠳⠎
temperament	性情；氣質；性格	⠞⠑⠍⠏⠻⠁⠰⠞
tempting	誘人的；吸引人的；令人心動的	⠞⠑⠍⠏⠞⠬
tendency	傾向；趨勢；習性	⠞⠢⠙⠢⠉⠽
tenet	原則；信條；宗旨	⠞⠢⠑⠞
tension	緊張；壓力；張力	⠞⠢⠨⠝
tenuous	脆弱的；纖細的；微弱的	⠞⠢⠥⠳⠎
terrain	地形；地勢；地帶	⠞⠻⠗⠁⠔
testify	作證；證明；證實	⠞⠑⠌⠊⠋⠽
thoroughly	徹底地；完全地；詳盡地	⠹⠕⠗⠳⠣⠇⠽
threaten	威脅；恐嚇；預示	⠹⠗⠂⠞⠢
threshold	門檻；臨界點；開端	⠹⠗⠑⠩⠕⠇⠙
thrive	茁壯成長；興旺；繁榮	⠹⠗⠊⠧⠑
tolerate	容忍；忍受；寬容	⠞⠕⠇⠻⠁⠞⠑
transformation	轉變；變革；轉化	⠞⠗⠁⠝⠎⠿⠍⠁⠰⠝
transient	短暫的；臨時的；轉瞬即逝的	⠞⠗⠁⠝⠎⠊⠢⠞
trappings	裝飾；外部標誌；附屬物	⠞⠗⠁⠏⠏⠬⠎
traverse	橫越；穿過；跨越	⠞⠗⠁⠧⠻⠎⠑
trend	趨勢；傾向；流行	⠞⠗⠢⠙
trigger	引發；觸發；引爆	⠞⠗⠊⠶⠻
turbulent	動盪的；混亂的；洶湧的	⠞⠥⠗⠃⠥⠇⠢⠞
ubiquitous	無所不在的；普遍存在的	⠥⠃⠊⠟⠥⠊⠞⠳⠎
unadorned	樸素的；未裝飾的；簡潔的	⠥⠝⠁⠙⠕⠗⠝⠫
unanimity	一致同意；全體一致	⠥⠝⠁⠝⠊⠍⠰⠽
undergo	經歷；接受；經受	⠐⠥⠛⠕
underlying	潛在的；基礎的；根本的	⠐⠥⠇⠽⠬
underpinning	基礎；支撐；支持	⠐⠥⠏⠔⠝⠬
underrate	低估；輕視	⠐⠥⠗⠁⠞⠑
underscore	強調；劃線於...下；突顯	⠐⠥⠎⠉⠕⠗⠑
undertake	承擔；著手做；從事	⠐⠥⠞⠁⠅⠑
uneasy	不安的；不舒服的；心神不寧的	⠥⠝⠂⠎⠽
uniform	一致的；統一的；制服	⠥⠝⠊⠿⠍
unintendedly	無意中；非故意地	⠥⠝⠔⠞⠢⠙⠫⠇⠽
unleash	釋放；發洩；解放	⠥⠝⠇⠂⠩
unprecedented	前所未有的；空前的；史無前例的	⠥⠝⠏⠗⠑⠉⠫⠢⠞⠫
utilitarian	實用的；功利的；實用主義的	⠥⠞⠊⠇⠊⠞⠜⠊⠁⠝
utility	效用；公共設施；實用性	⠥⠞⠊⠇⠰⠽
utterly	完全地；徹底地；絕對地	⠥⠞⠞⠻⠇⠽
vagary	變幻莫測；奇想；不可預測的變化	⠧⠁⠛⠜⠽
vanish	消失；突然不見；滅絕	⠧⠁⠝⠊⠩
vary	變化；改變；不同	⠧⠜⠽
vast	巨大的；廣闊的；大量的	⠧⠁⠌
versatile	多才多藝的；多用途的；靈活的	⠧⠻⠎⠁⠞⠊⠇⠑
vigorous	精力充沛的；有力的；積極的	⠧⠊⠛⠕⠗⠳⠎
vulnerable	易受傷的；脆弱的；易受影響的	⠧⠥⠇⠝⠻⠁⠃⠇⠑
warrant	證明；保證；授權	⠺⠜⠗⠁⠝⠞
wary	謹慎的；小心翼翼的；警惕的	⠺⠜⠽
whereas	然而；儘管；反之	⠐⠱⠁⠎
whereby	憑此；藉此；通過...的方法	⠐⠱⠃⠽
wholly	完全地；全部地；徹底地	⠱⠕⠇⠇⠽
widespread	廣泛的；普遍的；分布廣的	⠺⠊⠙⠑⠎⠏⠗⠂⠙
withstand	承受住；抵擋；忍受	⠾⠌⠯
yearning	渴望；嚮往；渴求	⠽⠑⠜⠝⠬
