absent	缺席的；不在場的	⠁⠃⠎⠢⠞
library	圖書館	⠇⠊⠃⠗⠜⠽
lightning	閃電	⠇⠊⠣⠞⠝⠬
listener	傾聽者	⠇⠊⠌⠢⠻
loser	輸家	⠇⠕⠎⠻
lover	情人	⠇⠕⠧⠻
magazine	雜誌	⠍⠁⠛⠁⠵⠔⠑
Mandarin	華語	⠠⠍⠯⠜⠔
manner	舉止;態度	⠍⠁⠝⠝⠻
marriage	結婚；婚姻	⠍⠜⠗⠊⠁⠛⠑
meal	餐	⠍⠂⠇
meaning	意義	⠍⠂⠝⠬
means	手段；方法;工具;收入	⠍⠂⠝⠎
measurement	測量法;測定;尺寸	⠍⠂⠎⠥⠗⠑⠰⠞
medicine	藥	⠍⠫⠊⠉⠔⠑
meeting	集會	⠍⠑⠑⠞⠬
member	會員	⠍⠑⠍⠃⠻
memory	記憶	⠍⠑⠍⠕⠗⠽
menu	菜單	⠍⠢⠥
meter	公尺;計量器	⠍⠑⠞⠻
method	方法	⠍⠑⠹⠕⠙
monster	怪物	⠍⠕⠝⠌⠻
moth	蛾;蠹；蛀蟲	⠍⠕⠹
napkin	餐巾	⠝⠁⠏⠅⠔
opinion	意見	⠕⠏⠔⠊⠕⠝
organization	組織	⠕⠗⠛⠁⠝⠊⠵⠁⠰⠝
oven	烤箱	⠕⠧⠢
overpass	天橋	⠕⠧⠻⠏⠁⠎⠎
owl	貓頭鷹	⠪⠇
owner	物主	⠪⠝⠻
painter	油漆匠;畫家	⠏⠁⠔⠞⠻
painting	油畫；水彩畫	⠏⠁⠔⠞⠬
panda	貓熊	⠏⠯⠁
partner	夥伴	⠐⠏⠝⠻
passenger	乘客	⠏⠁⠎⠎⠢⠛⠻
path	小徑;路線	⠏⠁⠹
peace	和平	⠏⠂⠉⠑
peach	桃子	⠏⠂⠡
peanut	花生;花生果;花生米	⠏⠂⠝⠥⠞
pear	梨子	⠏⠑⠜
penguin	企鵝	⠏⠢⠛⠥⠔
period	一段時間;一堂課	⠏⠻⠊⠕⠙
photographer	攝影師	⠏⠓⠕⠞⠕⠛⠗⠁⠏⠓⠻
pineapple	鳳梨	⠏⠔⠑⠁⠏⠏⠇⠑
ping-pong	乒乓球；桌球	⠏⠬⠤⠏⠰⠛
platform	月台;平台	⠏⠇⠁⠞⠿⠍
pleasure	愉快	⠏⠇⠂⠎⠥⠗⠑
population	人口	⠏⠕⠏⠥⠇⠁⠰⠝
possibility	可能性	⠏⠕⠎⠎⠊⠃⠊⠇⠰⠽
postcard	明信片	⠏⠕⠌⠉⠜⠙
presence	出席；在場	⠏⠗⠑⠎⠰⠑
president	校長;總統	⠏⠗⠑⠎⠊⠙⠢⠞
prince	王子	⠏⠗⠔⠉⠑
princess	公主	⠏⠗⠔⠉⠑⠎⠎
principle	主義;真諦	⠏⠗⠔⠉⠊⠏⠇⠑
printer	印表機;印刷業者	⠏⠗⠔⠞⠻
prisoner	囚犯;俘虜	⠏⠗⠊⠎⠕⠝⠻
producer	生產者；製造者製片人	⠏⠗⠕⠙⠥⠉⠻
pudding	布丁	⠏⠥⠙⠙⠬
pumpkin	南瓜	⠏⠥⠍⠏⠅⠔
punishment	處罰;懲罰	⠏⠥⠝⠊⠩⠰⠞
quality	品質	⠟⠥⠁⠇⠰⠽
quantity	量	⠟⠥⠁⠝⠞⠰⠽
rabbit	兔子	⠗⠁⠆⠊⠞
reality	現實;真實	⠗⠂⠇⠰⠽
refrigerator	電冰箱	⠗⠑⠋⠗⠊⠛⠻⠁⠞⠕⠗
relation	關係；關聯	⠗⠑⠇⠁⠰⠝
relationship	關係；關聯;人際關係	⠗⠑⠇⠁⠰⠝⠩⠊⠏
reporter	記者	⠗⠑⠏⠕⠗⠞⠻
requirement	需要;必需品	⠗⠑⠟⠥⠊⠗⠑⠰⠞
restaurant	餐廳	⠗⠑⠌⠁⠥⠗⠁⠝⠞
restroom	廁所	⠗⠑⠌⠗⠕⠕⠍
riches	財富；財產;富有；豐饒	⠗⠊⠡⠑⠎
roach	蟑螂	⠗⠕⠁⠡
ruler	尺;統治者	⠗⠥⠇⠻
runner	賽跑者;逃亡者	⠗⠥⠝⠝⠻
science	科學	⠎⠉⠊⠰⠑
scientist	科學家	⠎⠉⠊⠢⠞⠊⠌
secretary	秘書	⠎⠑⠉⠗⠑⠞⠜⠽
selection	選擇;選拔;選集；文選	⠎⠑⠇⠑⠉⠰⠝
semester	學期	⠎⠑⠍⠑⠌⠻
servant	僕人	⠎⠻⠧⠁⠝⠞
settlement	解決;清算;定居	⠎⠑⠞⠞⠇⠑⠰⠞
shelf	架子	⠩⠑⠇⠋
shorts	短褲	⠩⠕⠗⠞⠎
shrimp	蝦子	⠩⠗⠊⠍⠏
slipper	拖鞋	⠎⠇⠊⠏⠏⠻
soccer	足球	⠎⠕⠒⠻
soldier	軍人	⠎⠕⠇⠙⠊⠻
solution	解答;溶劑	⠎⠕⠇⠥⠰⠝
somebody	某人;有名氣的人	⠐⠎⠃⠕⠙⠽
source	源頭	⠎⠳⠗⠉⠑
soybean	大豆	⠎⠕⠽⠃⠂⠝
speaker	演講者;揚聲器	⠎⠏⠂⠅⠻
spelling	拼字;拼寫;拼法	⠎⠏⠑⠇⠇⠬
spider	蜘蛛	⠎⠏⠊⠙⠻
spinach	菠菜	⠎⠏⠔⠁⠡
spirit	精神	⠸⠎
steak	牛排	⠌⠂⠅
stove	爐灶	⠌⠕⠧⠑
stranger	陌生人	⠌⠗⠁⠝⠛⠻
straw	稻草;吸管	⠌⠗⠁⠺
strawberry	草莓	⠌⠗⠁⠺⠃⠻⠗⠽
success	成功	⠎⠥⠒⠑⠎⠎
supermarket	超級市場	⠎⠥⠏⠻⠍⠜⠅⠑⠞
sweater	毛衣	⠎⠺⠂⠞⠻
talent	天才	⠞⠁⠇⠢⠞
tangerine	橘子	⠞⠁⠝⠛⠻⠔⠑
teen	青少年	⠞⠑⠢
teenager	十幾歲孩子	⠞⠑⠢⠁⠛⠻
tennis	網球	⠞⠢⠝⠊⠎
tent	帳篷	⠞⠢⠞
theater	戲院;劇院	⠮⠁⠞⠻
thief	小偷	⠹⠊⠑⠋
throat	喉嚨	⠹⠗⠕⠁⠞
tofu	豆腐	⠞⠷⠥
tooth	牙齒	⠞⠕⠕⠹
tradition	傳統	⠞⠗⠁⠙⠊⠰⠝
treatment	對待;待遇;治療法	⠞⠗⠂⠞⠰⠞
trousers	長褲	⠞⠗⠳⠎⠻⠎
truth	事實;真相	⠞⠗⠥⠹
underground	地面下層;地下組織	⠐⠥⠛⠗⠨⠙
underwear	內衣	⠐⠥⠺⠑⠜
user	使用者	⠥⠎⠻
violin	小提琴	⠧⠊⠕⠇⠔
vocabulary	字彙	⠧⠕⠉⠁⠃⠥⠇⠜⠽
voter	選舉人;投票人	⠧⠕⠞⠻
waist	腰	⠺⠁⠊⠌
waiter	男服務生	⠺⠁⠊⠞⠻
waterfall	瀑布	⠺⠁⠞⠻⠋⠁⠇⠇
watermelon	西瓜	⠺⠁⠞⠻⠍⠑⠇⠕⠝
weapon	武器	⠺⠂⠏⠕⠝
weekday	工作日	⠺⠑⠑⠅⠐⠙
whale	鯨魚	⠱⠁⠇⠑
width	寬度	⠺⠊⠙⠹
winner	贏家	⠺⠔⠝⠻
yard	庭院;碼(3英呎)	⠽⠜⠙
youth	青少年;青少年時代	⠽⠳⠹
