acceptable	可以接受的;令人滿意的	⠁⠒⠑⠏⠞⠁⠃⠇⠑
regret	懊悔	⠗⠑⠛⠗⠑⠞
relate	有關；涉及	⠗⠑⠇⠁⠞⠑
relax	使鬆弛；使鬆懈；放鬆	⠗⠑⠇⠁⠭
release	釋放；解放	⠗⠑⠇⠂⠎⠑
rely	依靠；依賴	⠗⠑⠇⠽
remain	剩下；餘留	⠗⠑⠍⠁⠔
remind	提醒	⠗⠑⠍⠔⠙
remove	移動；搬開	⠗⠑⠍⠕⠧⠑
renew	換新;修補	⠗⠢⠑⠺
rent	租	⠗⠢⠞
repair	修理	⠗⠑⠏⠁⠊⠗
replace	取代;以...代替	⠗⠑⠏⠇⠁⠉⠑
represent	象徵;表示	⠗⠑⠏⠗⠑⠎⠢⠞
request	請求給予	⠗⠑⠟⠥⠑⠌
reserve	儲備；保存;保留	⠗⠑⠎⠻⠧⠑
resist	抵抗；反抗;抗拒	⠗⠑⠎⠊⠌
respond	作答；回答	⠗⠑⠎⠏⠕⠝⠙
restrict	限制;限定;約束	⠗⠑⠌⠗⠊⠉⠞
reveal	展現；顯露出	⠗⠑⠧⠂⠇
rid	使免除;使擺脫;從...清除	⠗⠊⠙
risk	冒...的風險	⠗⠊⠎⠅
roar	吼叫;大聲叫喊;狂笑	⠗⠕⠜
rob	搶劫	⠗⠕⠃
robe	使穿上禮服	⠗⠕⠃⠑
rocket	用火箭運載;飛快行進	⠗⠕⠉⠅⠑⠞
rot	腐爛；腐壞;腐朽；破損	⠗⠕⠞
rumor	謠傳;傳說	⠗⠥⠍⠕⠗
rust	生鏽	⠗⠥⠌
scatter	使分散;使潰散	⠎⠉⠁⠞⠞⠻
schedule	安排;將……列入計畫（或時間）表	⠎⠡⠫⠥⠇⠑
scoop	用勺舀;挖空;挖出	⠎⠉⠕⠕⠏
scout	偵察;搜索;嘲笑；嘲弄	⠎⠉⠳⠞
scream	尖叫;放聲大哭	⠎⠉⠗⠂⠍
screw	(用螺釘等)固定;扭歪(臉等)	⠎⠉⠗⠑⠺
scrub	用力擦洗;揉	⠎⠉⠗⠥⠃
seal	封；密封;蓋章	⠎⠂⠇
seek	尋覓	⠎⠑⠑⠅
seize	抓住;捉住;沒收;扣押	⠎⠑⠊⠵⠑
sew	縫製;縫補	⠎⠑⠺
shade	遮蔽；蔽蔭	⠩⠁⠙⠑
shadow	使變暗;使陰鬱	⠩⠁⠙⠪
shame	使感到羞恥	⠩⠁⠍⠑
shampoo	洗(頭髮);洗(地毯等)	⠩⠁⠍⠏⠕⠕
shave	刮(鬍子等);修剪	⠩⠁⠧⠑
shorten	使變短;縮短	⠩⠕⠗⠞⠢
shovel	用鐵鍬挖	⠩⠕⠧⠑⠇
shrink	縮短；皺縮	⠩⠗⠔⠅
sigh	嘆氣；嘆息	⠎⠊⠣
signal	發信號；打信號	⠎⠊⠛⠝⠁⠇
sin	犯(罪)	⠎⠔
sip	啜飲	⠎⠊⠏
skate	溜冰	⠎⠅⠁⠞⠑
ski	滑雪	⠎⠅⠊
skip	略過;漏掉	⠎⠅⠊⠏
slave	奴隸般工作;苦幹	⠎⠇⠁⠧⠑
slice	切成薄片	⠎⠇⠊⠉⠑
snap	突然折斷;用快照拍攝	⠎⠝⠁⠏
sorrow	感到悲傷;懊悔;遺憾	⠎⠕⠗⠗⠪
spice	加香料於	⠎⠏⠊⠉⠑
spill	使溢出;使濺出;使散落	⠎⠏⠊⠇⠇
spin	使(陀螺等)旋轉	⠎⠏⠔
spit	吐(唾液等)	⠎⠏⠊⠞
splash	濺；潑	⠎⠏⠇⠁⠩
spoil	寵壞；溺愛	⠎⠏⠕⠊⠇
sprain	扭;扭傷	⠎⠏⠗⠁⠔
spray	噴灑；噴塗	⠎⠏⠗⠁⠽
sprinkle	灑；噴淋;撒	⠎⠏⠗⠔⠅⠇⠑
spy	暗中監視	⠎⠏⠽
squeeze	榨；擠；壓	⠎⠟⠥⠑⠑⠵⠑
stab	刺；戳	⠌⠁⠃
staff	給...配備職員	⠌⠁⠋⠋
stare	盯；凝視	⠌⠜⠑
starve	餓死;餓得慌;渴望	⠌⠜⠧⠑
sting	刺；螫；叮	⠌⠬
stir	攪拌；攪動	⠌⠊⠗
stitch	縫;繡;編結	⠌⠊⠞⠡
strip	剝去；剝光	⠌⠗⠊⠏
structure	構造;組織;建造	⠌⠗⠥⠉⠞⠥⠗⠑
stuff	裝;填;塞	⠌⠥⠋⠋
style	稱呼;命名;設計;使成為時髦	⠌⠽⠇⠑
suck	吸；吮；啜	⠎⠥⠉⠅
suffer	遭受;經歷;受苦;患病	⠎⠥⠖⠻
suggest	建議	⠎⠥⠶⠑⠌
sum	計算...的總和	⠎⠥⠍
suppose	猜想；以為;假定	⠎⠥⠏⠏⠕⠎⠑
surround	圍；圍繞	⠎⠥⠗⠗⠨⠙
survey	測量；勘測	⠎⠥⠗⠧⠑⠽
swear	發誓;宣誓	⠎⠺⠑⠜
sweat	出汗	⠎⠺⠂⠞
swell	腫起；腫脹	⠎⠺⠑⠇⠇
switch	使轉換;為...轉接(電話)	⠎⠺⠊⠞⠡
tack	用平頭釘釘	⠞⠁⠉⠅
tag	給...加標籤	⠞⠁⠛
tailor	做裁縫	⠞⠁⠊⠇⠕⠗
tax	向...課稅	⠞⠁⠭
tease	逗弄;取笑;向...強求	⠞⠂⠎⠑
tend	走向;趨向;照料	⠞⠢⠙
thread	穿(針；線等)	⠹⠗⠂⠙
threaten	威脅；恐嚇	⠹⠗⠂⠞⠢
tickle	使發癢;逗...笑	⠞⠊⠉⠅⠇⠑
tighten	變緊；繃緊	⠞⠊⠣⠞⠢
toss	拋；扔；投	⠞⠕⠎⠎
tow	拖；拉;牽引	⠞⠪
trace	追蹤;描繪	⠞⠗⠁⠉⠑
trail	拖；曳	⠞⠗⠁⠊⠇
transport	運送；運輸	⠞⠗⠁⠝⠎⠏⠕⠗⠞
trash	修剪(樹等)的枯枝殘葉;丟棄	⠞⠗⠁⠩
tremble	發抖;震顫	⠞⠗⠑⠍⠃⠇⠑
troop	群集；集合	⠞⠗⠕⠕⠏
tug	用力拉	⠞⠥⠛
tumble	跌倒;滾下	⠞⠥⠍⠃⠇⠑
tune	為...調音	⠞⠥⠝⠑
tutor	當家庭教師	⠞⠥⠞⠕⠗
twist	扭轉;扭彎	⠞⠺⠊⠌
unite	統一;使團結	⠥⠝⠊⠞⠑
vanish	使不見;使消失	⠧⠁⠝⠊⠩
vary	使不同;變更;呈多樣化	⠧⠜⠽
wag	搖;搖擺;搖尾巴	⠺⠁⠛
waken	醒來;睡醒;喚醒	⠺⠁⠅⠢
wander	漫遊;閒逛	⠺⠯⠻
warn	警告	⠺⠜⠝
wax	給...上蠟	⠺⠁⠭
weaken	削弱；減弱	⠺⠂⠅⠢
weave	織;編	⠺⠂⠧⠑
web	(蜘蛛等)結網於;形成網狀	⠺⠑⠃
weed	除掉(雜草)	⠺⠑⠫
weep	哭泣；流淚	⠺⠑⠑⠏
whip	鞭笞；抽打	⠱⠊⠏
whistle	吹口哨;鳴笛	⠱⠊⠌⠇⠑
wink	眨(眼)	⠺⠔⠅
wipe	擦;揩乾	⠺⠊⠏⠑
wrap	包；裹	⠺⠗⠁⠏
yawn	打呵欠	⠽⠁⠺⠝
yell	吼叫	⠽⠑⠇⠇
zipper	拉上拉鍊	⠵⠊⠏⠏⠻
zone	劃出...為區	⠵⠐⠕
ought	應當；應該	⠐⠳
aboard	在船(或飛機;車)上;上船(或飛機;車)	⠁⠃⠕⠜⠙
afterward	之後；以後；後來	⠁⠋⠺
afterwards	之後；後來	⠁⠋⠺⠎
apart	分開地；相間隔地	⠁⠐⠏
aside	在旁邊;到(或向)旁邊	⠁⠎⠊⠙⠑
badly	壞;拙劣地	⠃⠁⠙⠇⠽
barely	僅僅;勉強	⠃⠜⠑⠇⠽
fairly	公平地；公正地	⠋⠁⠊⠗⠇⠽
forever	永遠	⠿⠐⠑
forth	向前;向前方;向外	⠿⠹
indeed	確實；實在	⠔⠙⠑⠫
indoors	在室內；在屋裡	⠔⠙⠕⠕⠗⠎
instead	反而；卻	⠔⠌⠂⠙
meanwhile	其間;同時	⠍⠂⠝⠱⠊⠇⠑
outdoors	在戶外；在野外；在露天;往戶外	⠳⠞⠙⠕⠕⠗⠎
plenty	足夠；充分地	⠏⠇⠢⠞⠽
seldom	很少地	⠎⠑⠇⠙⠕⠍
shortly	立刻；馬上;簡短地；扼要地	⠩⠕⠗⠞⠇⠽
someday	將來有一天	⠐⠎⠐⠙
somehow	不知怎麼的	⠐⠎⠓⠪
sometime	某一時候;日後；改天	⠐⠎⠐⠞
somewhat	有點；稍微	⠐⠎⠱⠁⠞
threateningly	威脅地；脅迫地	⠹⠗⠂⠞⠢⠬⠇⠽
beneath	在...之下	⠆⠝
onto	到...之上;向...之上	⠕⠝⠞⠕
unless	如果不；除非	⠥⠝⠨⠎
accident	事故;災禍	⠁⠒⠊⠙⠢⠞
achievement	成就	⠁⠡⠊⠑⠧⠑⠰⠞
activity	活動	⠁⠉⠞⠊⠧⠰⠽
ad	廣告	⠁⠙
advantage	優點；優勢;利益	⠁⠙⠧⠁⠝⠞⠁⠛⠑
adventure	冒險;冒險活動	⠁⠙⠧⠢⠞⠥⠗⠑
advertisement	廣告	⠁⠙⠧⠻⠞⠊⠎⠑⠰⠞
advice	忠告	⠁⠙⠧⠊⠉⠑
adviser	顧問;指導教授	⠁⠙⠧⠊⠎⠻
advisor	adviser	⠁⠙⠧⠊⠎⠕⠗
agriculture	農業	⠁⠛⠗⠊⠉⠥⠇⠞⠥⠗⠑
alley	小巷；後街	⠁⠇⠇⠑⠽
amazement	驚奇；詫異	⠁⠍⠁⠵⠑⠰⠞
ambassador	大使	⠁⠍⠃⠁⠎⠎⠁⠙⠕⠗
ambition	野心	⠁⠍⠃⠊⠰⠝
angel	天使	⠁⠝⠛⠑⠇
angle	角度	⠁⠝⠛⠇⠑
announcement	宣佈	⠁⠝⠝⠳⠝⠉⠑⠰⠞
aquarium	養魚缸;水族館	⠁⠟⠥⠜⠊⠥⠍
arrival	到達	⠜⠗⠊⠧⠁⠇
ash	灰	⠁⠩
athlete	運動員；體育家	⠁⠹⠇⠑⠞⠑
attitude	態度	⠁⠞⠞⠊⠞⠥⠙⠑
audience	聽眾	⠁⠥⠙⠊⠰⠑
auto	汽車	⠁⠥⠞⠕
automobile	汽車	⠁⠥⠞⠕⠍⠕⠃⠊⠇⠑
avenue	大街；大道	⠁⠧⠢⠥⠑
background	背景	⠃⠁⠉⠅⠛⠗⠨⠙
bacon	燻豬肉	⠃⠁⠉⠕⠝
bacteria	細菌	⠃⠁⠉⠞⠻⠊⠁
badminton	羽毛球	⠃⠁⠙⠍⠔⠞⠕⠝
baggage	行李	⠃⠁⠶⠁⠛⠑
barn	穀倉;糧倉	⠃⠜⠝
barrel	大桶	⠃⠜⠗⠑⠇
bay	海灣	⠃⠁⠽
beast	野獸	⠃⠂⠌
beggar	乞丐	⠃⠑⠶⠜
being	存在;生存;生命;本質	⠆⠬
belly	腹部	⠃⠑⠇⠇⠽
berry	莓果	⠃⠻⠗⠽
Bible	聖經	⠠⠃⠊⠃⠇⠑
billion	(美國)十億	⠃⠊⠇⠇⠊⠕⠝
bingo	賓果遊戲	⠃⠬⠕
biscuit	(美國)小麵包	⠃⠊⠎⠉⠥⠊⠞
blouse	女裝短上衣	⠃⠇⠳⠎⠑
bravery	勇敢；勇氣	⠃⠗⠁⠧⠻⠽
breast	乳房	⠃⠗⠂⠌
breath	呼吸；氣息;微風	⠃⠗⠂⠹
bride	新娘	⠃⠗⠊⠙⠑
brook	小河；小溪	⠃⠗⠕⠕⠅
broom	掃帚	⠃⠗⠕⠕⠍
brow	眉頭;眉毛	⠃⠗⠪
bucket	水桶	⠃⠥⠉⠅⠑⠞
buffalo	水牛	⠃⠥⠖⠁⠇⠕
buffet	自助餐	⠃⠥⠖⠑⠞
bulb	電燈泡	⠃⠥⠇⠃
bull	公牛	⠃⠥⠇⠇
bullet	子彈	⠃⠥⠇⠇⠑⠞
bunch	串；束	⠃⠥⠝⠡
burglar	夜賊；破門盜竊者	⠃⠥⠗⠛⠇⠜
bush	灌木	⠃⠥⠩
cabin	客艙	⠉⠁⠃⠔
campus	校園	⠉⠁⠍⠏⠥⠎
cane	藤條;手杖	⠉⠁⠝⠑
canyon	峽谷	⠉⠁⠝⠽⠕⠝
carpenter	木工；木匠	⠉⠜⠏⠢⠞⠻
carriage	運輸;運費	⠉⠜⠗⠊⠁⠛⠑
caterpillar	履帶牽引車	⠉⠁⠞⠻⠏⠊⠇⠇⠜
cattle	牛;牲口；家畜	⠉⠁⠞⠞⠇⠑
centimeter	公分	⠉⠢⠞⠊⠍⠑⠞⠻
ceramics	(當單數用)製陶業	⠉⠻⠁⠍⠊⠉⠎
champion	優勝者；冠軍	⠡⠁⠍⠏⠊⠕⠝
chapter	(書籍的)章；回	⠡⠁⠏⠞⠻
cheek	臉頰;腮幫子	⠡⠑⠑⠅
cheese	起司;乳酪	⠡⠑⠑⠎⠑
chest	胸;箱子；盒子	⠡⠑⠌
childhood	幼時	⠡⠊⠇⠙⠓⠕⠕⠙
chimney	煙囪	⠡⠊⠍⠝⠑⠽
China	中國	⠠⠡⠔⠁
cigarette	香煙；紙煙	⠉⠊⠛⠜⠑⠞⠞⠑
circus	馬戲團	⠉⠊⠗⠉⠥⠎
client	顧客；客戶	⠉⠇⠊⠢⠞
clinic	診所；門診所	⠉⠇⠔⠊⠉
clue	線索；跡象；提示	⠉⠇⠥⠑
cocktail	雞尾酒	⠉⠕⠉⠅⠞⠁⠊⠇
coconut	椰子;椰子肉	⠉⠕⠉⠕⠝⠥⠞
collar	衣領	⠉⠕⠇⠇⠜
collection	收集	⠉⠕⠇⠇⠑⠉⠰⠝
college	學院;大學	⠉⠕⠇⠇⠑⠛⠑
colony	殖民地	⠉⠕⠇⠕⠝⠽
column	(報紙的)欄；段;行	⠉⠕⠇⠥⠍⠝
comma	逗號;停頓	⠉⠕⠍⠍⠁
committee	委員會	⠉⠕⠍⠍⠊⠞⠞⠑⠑
comparison	比較；對照	⠉⠕⠍⠏⠜⠊⠎⠕⠝
complaint	抱怨;抗議;怨言	⠉⠕⠍⠏⠇⠁⠔⠞
concert	音樂會；演奏會	⠒⠉⠻⠞
conclusion	結論;推論	⠒⠉⠇⠥⠨⠝
cone	圓錐體;圓錐形	⠉⠐⠕
connection	連接;聯絡;銜接	⠒⠝⠑⠉⠰⠝
consideration	考慮	⠒⠎⠊⠙⠻⠁⠰⠝
continent	大陸；陸地;大洲	⠒⠞⠔⠢⠞
coward	懦夫；膽怯者	⠉⠪⠜⠙
creator	創造者;創作者	⠉⠗⠂⠞⠕⠗
creature	生物;動物	⠉⠗⠂⠞⠥⠗⠑
crew	全體船員	⠉⠗⠑⠺
cricket	蟋蟀	⠉⠗⠊⠉⠅⠑⠞
crutch	丁形柺杖	⠉⠗⠥⠞⠡
cupboard	食櫥;碗櫃	⠉⠥⠏⠃⠕⠜⠙
dairy	牛奶店;牛奶及乳品業	⠙⠁⠊⠗⠽
dealer	業者;商人;發牌者	⠙⠂⠇⠻
decade	十;十年	⠙⠑⠉⠁⠙⠑
deck	(船的)	⠙⠑⠉⠅
deed	契據;證書	⠙⠑⠫
definition	定義;釋義	⠙⠑⠋⠔⠊⠰⠝
delivery	投遞；傳送	⠙⠑⠇⠊⠧⠻⠽
democracy	民主	⠙⠑⠍⠕⠉⠗⠁⠉⠽
description	敘述;形容	⠙⠑⠎⠉⠗⠊⠏⠰⠝
designer	設計者;構思者;時裝設計師	⠙⠑⠎⠊⠛⠝⠻
devil	魔鬼；惡魔	⠙⠑⠧⠊⠇
dialogue	對話;交談	⠙⠊⠁⠇⠕⠛⠥⠑
dime	一角硬幣	⠙⠊⠍⠑
dirt	污物;爛泥;灰塵	⠙⠊⠗⠞
disappointment	失望;掃興；沮喪	⠲⠁⠏⠏⠕⠔⠞⠰⠞
disc	圓盤;盤狀物;磁盤;鐵餅	⠙⠊⠎⠉
disco	迪斯科音樂	⠲⠉⠕
discotheque	小舞廳;迪斯科舞廳	⠲⠉⠕⠮⠟⠥⠑
discovery	發現	⠲⠉⠕⠧⠻⠽
disease	病；疾病	⠲⠂⠎⠑
disk	圓盤;(電腦)磁盤	⠙⠊⠎⠅
earnings	收入；工資	⠑⠜⠝⠬⠎
edition	版本	⠫⠊⠰⠝
editor	編者;校訂者	⠫⠊⠞⠕⠗
election	選舉	⠑⠇⠑⠉⠰⠝
electricity	電;電流	⠑⠇⠑⠉⠞⠗⠊⠉⠰⠽
emergency	緊急情況	⠑⠍⠻⠛⠢⠉⠽
emperor	皇帝	⠑⠍⠏⠻⠕⠗
employee	受雇者；雇工；雇員	⠑⠍⠏⠇⠕⠽⠑⠑
employer	雇主；雇用者	⠑⠍⠏⠇⠕⠽⠻
employment	雇用;受雇	⠑⠍⠏⠇⠕⠽⠰⠞
engagement	訂婚;諾言;雇用;交戰	⠢⠛⠁⠛⠑⠰⠞
engine	引擎	⠢⠛⠔⠑
engineer	工程師	⠢⠛⠔⠑⠻
entry	進入；入場;入口	⠢⠞⠗⠽
excellence	優秀;傑出;卓越	⠑⠭⠉⠑⠇⠇⠰⠑
exhibition	展覽;展覽會	⠑⠭⠓⠊⠃⠊⠰⠝
existence	存在；實在	⠑⠭⠊⠌⠰⠑
expectation	期待;預期	⠑⠭⠏⠑⠉⠞⠁⠰⠝
expense	費用;支出;消耗	⠑⠭⠏⠢⠎⠑
expression	表達;表示	⠑⠭⠏⠗⠑⠎⠨⠝
fable	寓言	⠋⠁⠃⠇⠑
factor	因素;要素	⠋⠁⠉⠞⠕⠗
faith	信念;信任；完全信賴	⠋⠁⠊⠹
fan	風扇;扇子;迷友	⠋⠁⠝
fanatic	狂熱者;盲信者	⠋⠁⠝⠁⠞⠊⠉
fare	(交通工具的)票價；車(船)費	⠋⠜⠑
fate	命運	⠋⠁⠞⠑
faucet	水龍頭	⠋⠁⠥⠉⠑⠞
feather	羽毛	⠋⠂⠮⠗
firework	煙火	⠋⠊⠗⠑⠐⠺
flea	跳蚤	⠋⠇⠑⠁
flesh	肉；肌肉	⠋⠇⠑⠩
folk	人們	⠋⠕⠇⠅
follower	追隨者;信徒	⠋⠕⠇⠇⠪⠻
forehead	額；前額	⠿⠑⠓⠂⠙
fortune	財產；財富;巨款	⠿⠞⠥⠝⠑
fountain	泉水;噴泉;水源	⠋⠨⠞⠁⠔
friendship	友誼	⠋⠗⠩⠊⠏
fur	軟毛;毛皮製品	⠋⠥⠗
furniture	傢俱	⠋⠥⠗⠝⠊⠞⠥⠗⠑
gallon	加侖	⠛⠁⠇⠇⠕⠝
gap	裂口；缺口	⠛⠁⠏
garlic	大蒜;蒜頭	⠛⠜⠇⠊⠉
gas	瓦斯;汽油	⠛⠁⠎
gasoline	汽油	⠛⠁⠎⠕⠇⠔⠑
governor	州長	⠛⠕⠧⠻⠝⠕⠗
gown	(婦女穿的)長禮服;晨衣；睡袍	⠛⠪⠝
grain	穀物;(砂；鹽等的)粒；細粒	⠛⠗⠁⠔
gram	公克	⠛⠗⠁⠍
grasshopper	蚱蜢	⠛⠗⠁⠎⠎⠓⠕⠏⠏⠻
greenhouse	溫室；暖房	⠛⠗⠑⠢⠓⠳⠎⠑
grocery	食品雜貨;	⠛⠗⠕⠉⠻⠽
guardian	保護者；守護者;管理員	⠛⠥⠜⠙⠊⠁⠝
guidance	指導;引導;領導	⠛⠥⠊⠙⠨⠑
gum	口香糖	⠛⠥⠍
gym	體育館;體育;體操	⠛⠽⠍
gymnasium	體育館;健身房	⠛⠽⠍⠝⠁⠎⠊⠥⠍
hairdresser	美髮師	⠓⠁⠊⠗⠙⠗⠑⠎⠎⠻
hallway	玄關;門廳；走	⠓⠁⠇⠇⠺⠁⠽
handful	少數；少量	⠓⠯⠰⠇
hawk	鷹；隼	⠓⠁⠺⠅
hay	(做飼料用的)乾草	⠓⠁⠽
headquarters	總部；總公司；總局	⠓⠂⠙⠟⠥⠜⠞⠻⠎
heaven	天國;上帝	⠓⠂⠧⠢
hell	地獄；冥府	⠓⠑⠇⠇
helmet	盔;頭盔;鋼盔;帽盔;安全帽	⠓⠑⠇⠍⠑⠞
historian	歷史學家	⠓⠊⠌⠕⠗⠊⠁⠝
hive	蜂房;蜂巢;熱鬧的場所	⠓⠊⠧⠑
hometown	故鄉;家鄉	⠓⠕⠍⠑⠞⠪⠝
honesty	誠實	⠓⠐⠕⠌⠽
horn	角;觸角;喇叭	⠓⠕⠗⠝
horror	恐怖；震驚；毛骨悚然	⠓⠕⠗⠗⠕⠗
housekeeper	女管家	⠓⠳⠎⠑⠅⠑⠑⠏⠻
humankind	人類	⠓⠥⠍⠁⠝⠅⠔⠙
hut	小屋;臨時營房	⠓⠥⠞
identity	身分	⠊⠙⠢⠞⠰⠽
ignorance	無知；不學無術;愚昧	⠊⠛⠝⠕⠗⠨⠑
image	肖像影像	⠊⠍⠁⠛⠑
imagination	想像力;創造力	⠊⠍⠁⠛⠔⠁⠰⠝
injury	傷害	⠔⠚⠥⠗⠽
inn	小旅館；客棧	⠔⠝
inspector	檢查員;視察員;督察員	⠔⠎⠏⠑⠉⠞⠕⠗
instruction	教學；講授	⠔⠌⠗⠥⠉⠰⠝
introduction	介紹;正式引見	⠔⠞⠗⠕⠙⠥⠉⠰⠝
inventor	發明家	⠔⠧⠢⠞⠕⠗
jar	罐；罈	⠚⠜
jelly	果凍;果醬	⠚⠑⠇⠇⠽
jewel	寶石	⠚⠑⠺⠑⠇
jewelry	(總稱)珠寶;首飾	⠚⠑⠺⠑⠇⠗⠽
journal	日報;雜誌;期刊;日誌	⠚⠳⠗⠝⠁⠇
jungle	(熱帶)叢林；密林	⠚⠥⠝⠛⠇⠑
justice	正義;公平	⠚⠥⠌⠊⠉⠑
kangaroo	袋鼠	⠅⠁⠝⠛⠜⠕⠕
kettle	水壺	⠅⠑⠞⠞⠇⠑
keyboard	鍵盤	⠅⠑⠽⠃⠕⠜⠙
kidney	腎臟	⠅⠊⠙⠝⠑⠽
kilogram	公斤	⠅⠊⠇⠕⠛⠗⠁⠍
kilometer	公里	⠅⠊⠇⠕⠍⠑⠞⠻
kit	成套工具;配套元件	⠅⠊⠞
km	kilometer	⠅⠍
knob	球形突出物	⠅⠝⠕⠃
ladder	梯子	⠇⠁⠙⠙⠻
laughter	笑;笑聲	⠇⠁⠥⠣⠞⠻
laundry	洗衣店;送洗的衣服	⠇⠁⠥⠝⠙⠗⠽
lawn	草坪；草地	⠇⠁⠺⠝
leather	皮革	⠇⠂⠮⠗
leisure	閒暇；空暇時間	⠇⠑⠊⠎⠥⠗⠑
lens	透鏡;鏡片	⠇⠢⠎
liar	說謊的人	⠇⠊⠜
liberty	自由;自由權	⠇⠊⠃⠻⠞⠽
librarian	圖書館員	⠇⠊⠃⠗⠜⠊⠁⠝
lifeboat	救生艇	⠇⠊⠋⠑⠃⠕⠁⠞
lifeguard	救生員	⠇⠊⠋⠑⠛⠥⠜⠙
lifetime	一生；終身	⠇⠊⠋⠑⠐⠞
lighthouse	燈塔	⠇⠊⠣⠞⠓⠳⠎⠑
limb	肢;臂	⠇⠊⠍⠃
linen	亞麻布製品(如床單；桌巾；內衣等)	⠇⠔⠢
lipstick	口紅	⠇⠊⠏⠌⠊⠉⠅
liver	肝臟	⠇⠊⠧⠻
lobby	大廳;門廊	⠇⠕⠆⠽
lobster	龍蝦	⠇⠕⠃⠌⠻
lollipop	棒棒糖	⠇⠕⠇⠇⠊⠏⠕⠏
lord	(大寫)上帝；基督	⠐⠇
loudspeaker	揚聲器；擴聲器；喇叭	⠇⠳⠙⠎⠏⠂⠅⠻
luggage	行李	⠇⠥⠶⠁⠛⠑
lung	肺；肺臟	⠇⠥⠝⠛
magnet	磁鐵；磁石	⠍⠁⠛⠝⠑⠞
maid	侍女;女僕	⠍⠁⠊⠙
majority	過半數；大多數	⠍⠁⠚⠕⠗⠰⠽
mall	大規模購物中心	⠍⠁⠇⠇
management	管理;經營;處理	⠍⠁⠝⠁⠛⠑⠰⠞
manager	經理	⠍⠁⠝⠁⠛⠻
mankind	人類	⠍⠁⠝⠅⠔⠙
manners	禮貌;規矩;風俗；習慣	⠍⠁⠝⠝⠻⠎
marble	大理石	⠍⠜⠃⠇⠑
math	數學	⠍⠁⠹
mathematics	數學	⠍⠁⠮⠍⠁⠞⠊⠉⠎
mayor	市長；鎮長	⠍⠁⠽⠕⠗
meadow	草地；牧草地	⠍⠂⠙⠪
medal	獎章；紀念章；勳章	⠍⠫⠁⠇
media	媒介物;新聞媒介	⠍⠫⠊⠁
medium	中間;中庸;媒體;工具;傳播媒介	⠍⠫⠊⠥⠍
membership	會員身分	⠍⠑⠍⠃⠻⠩⠊⠏
merchant	商人	⠍⠻⠡⠁⠝⠞
microphone	麥克風	⠍⠊⠉⠗⠕⠏⠓⠐⠕
might	力量；威力	⠍⠊⠣⠞
mike	擴音器;麥克風	⠍⠊⠅⠑
millionaire	百萬富翁	⠍⠊⠇⠇⠊⠕⠝⠁⠊⠗⠑
miner	礦工	⠍⠔⠻
minority	少數;少數民族;未成年	⠍⠔⠕⠗⠰⠽
miracle	奇蹟	⠍⠊⠗⠁⠉⠇⠑
misery	痛苦;不幸;悲慘;窮困	⠍⠊⠎⠻⠽
missile	飛彈；導彈	⠍⠊⠎⠎⠊⠇⠑
mission	使節團;使命；任務	⠍⠊⠎⠨⠝
mixture	混合；混和	⠍⠊⠭⠞⠥⠗⠑
moisture	濕氣	⠍⠕⠊⠌⠥⠗⠑
monk	修道士;僧侶	⠍⠕⠝⠅
mood	心情；心境；情緒	⠍⠕⠕⠙
motel	汽車旅館	⠍⠕⠞⠑⠇
motor	馬達；發動機	⠍⠕⠞⠕⠗
muscle	肌;肌肉	⠍⠥⠎⠉⠇⠑
mystery	神祕；祕密	⠍⠽⠌⠻⠽
nanny	保姆	⠝⠁⠝⠝⠽
navy	海軍	⠝⠁⠧⠽
necessity	必需品	⠝⠑⠉⠑⠎⠎⠰⠽
necktie	領帶	⠝⠑⠉⠅⠞⠊⠑
neighborhood	近鄰	⠝⠑⠊⠣⠃⠕⠗⠓⠕⠕⠙
nerve	神經	⠝⠻⠧⠑
network	電視網;電腦網絡	⠝⠑⠞⠐⠺
novelist	小說家	⠝⠕⠧⠑⠇⠊⠌
nun	修女;尼姑	⠝⠥⠝
oak	橡樹	⠕⠁⠅
operator	接線生;運算符號	⠕⠏⠻⠁⠞⠕⠗
opportunity	機會;良機	⠕⠏⠏⠕⠗⠞⠥⠝⠰⠽
origin	起源;由來	⠕⠗⠊⠛⠔
overcoat	外套；大衣	⠕⠧⠻⠉⠕⠁⠞
ownership	物主身分;所有權	⠪⠝⠻⠩⠊⠏
pail	桶;提桶	⠏⠁⠊⠇
pal	伙伴;好友	⠏⠁⠇
palace	皇宮；宮殿	⠏⠁⠇⠁⠉⠑
pancake	薄煎餅；薄烤餅	⠏⠁⠝⠉⠁⠅⠑
paradise	樂園	⠏⠜⠁⠙⠊⠎⠑
passage	通行;走廊；過道	⠏⠁⠎⠎⠁⠛⠑
passion	熱情；激情;酷愛	⠏⠁⠎⠨⠝
passport	護照;通行證;執照	⠏⠁⠎⠎⠏⠕⠗⠞
password	密碼;口令;暗語	⠏⠁⠎⠎⠘⠺
patience	耐心;忍耐;耐性;毅力	⠏⠁⠞⠊⠰⠑
pavement	鋪築過的地面;人行道	⠏⠁⠧⠑⠰⠞
pay	薪俸;報酬;報償;懲罰	⠏⠁⠽
pea	豌豆	⠏⠑⠁
pearl	珍珠	⠏⠑⠜⠇
penny	便士;一便士硬幣	⠏⠢⠝⠽
performance	演出;演奏;表演	⠏⠻⠿⠍⠨⠑
