absent	缺席的；不在場的	⠁⠃⠎⠢⠞
struggle	掙扎;對抗	⠌⠗⠥⠶⠇⠑
subtract	減；減去	⠎⠥⠃⠞⠗⠁⠉⠞
succeed	成功	⠎⠥⠒⠑⠫
suit	適合;相稱;彼此協調	⠎⠥⠊⠞
supply	供給；供應	⠎⠥⠏⠏⠇⠽
support	支持	⠎⠥⠏⠏⠕⠗⠞
surface	顯露；呈現;起床；露面	⠎⠥⠗⠋⠁⠉⠑
survive	在...之後仍然活著	⠎⠥⠗⠧⠊⠧⠑
swallow	吞嚥	⠎⠺⠁⠇⠇⠪
sweep	掃	⠎⠺⠑⠑⠏
swing	搖擺;揮動	⠎⠺⠬
tape	用帶子捆紮;用錄音帶為...錄音(或影)	⠞⠁⠏⠑
target	把...作為目標(或對象)	⠞⠜⠛⠑⠞
task	派給...任務;要...做一項工作	⠞⠁⠎⠅
team	使合作;結成一隊	⠞⠂⠍
tear	撕	⠞⠑⠜
telephone	打電話；通電話	⠞⠑⠇⠑⠏⠓⠐⠕
term	把...稱為；把...叫做	⠞⠻⠍
test	試驗;測驗	⠞⠑⠌
thumb	用拇指翻動;迅速翻閱;豎起拇指要求搭車	⠹⠥⠍⠃
thunder	打雷;大聲斥責;威嚇	⠹⠐⠥
tip	給小費;使傾斜	⠞⠊⠏
title	加標題於;授頭銜於	⠞⠊⠞⠇⠑
toast	烤;乾杯	⠞⠕⠁⠌
toe	用腳尖走(或站)	⠞⠕⠑
tongue	舔;用舌吹(管樂器);發(音)	⠞⠰⠛⠥⠑
tour	帶...作巡迴演出	⠞⠳⠗
towel	用毛巾擦	⠞⠪⠑⠇
tower	高聳；屹立;勝過;高飛；翱翔	⠞⠪⠻
track	跟蹤;沿著(道路)走	⠞⠗⠁⠉⠅
trade	交換;	⠞⠗⠁⠙⠑
traffic	在...上通行;交易；來來往往	⠞⠗⠁⠖⠊⠉
trap	設陷阱	⠞⠗⠁⠏
travel	旅行	⠞⠗⠁⠧⠑⠇
treasure	珍愛	⠞⠗⠂⠎⠥⠗⠑
treat	對待;治療	⠞⠗⠂⠞
trick	欺騙	⠞⠗⠊⠉⠅
truck	用卡車運送	⠞⠗⠥⠉⠅
trumpet	吹喇叭	⠞⠗⠥⠍⠏⠑⠞
trust	信任	⠞⠗⠥⠌
tunnel	挖掘隧道	⠞⠥⠝⠝⠑⠇
type	打字	⠞⠽⠏⠑
vacation	度假	⠧⠁⠉⠁⠰⠝
value	估價；評價;尊重;重視	⠧⠁⠇⠥⠑
vote	投票	⠧⠕⠞⠑
wake	叫醒	⠺⠁⠅⠑
wave	揮動	⠺⠁⠧⠑
wed	娶;嫁	⠺⠫
wheel	旋轉；轉動	⠱⠑⠑⠇
whisper	低語；耳語	⠱⠊⠎⠏⠻
widen	加寬;擴大	⠺⠊⠙⠢
wing	在...裝翼;飛行	⠺⠬
wire	用金屬絲縛;拍電報	⠺⠊⠗⠑
wonder	納悶	⠺⠕⠝⠙⠻
wound	傷害	⠺⠨⠙
abroad	在國外	⠁⠃⠗⠕⠁⠙
aloud	大聲地	⠁⠇⠳⠙
altogether	完全地;總共	⠁⠇⠞
anyhow	無論如何；總之	⠁⠝⠽⠓⠪
anyplace	任何地方(=anywhere)	⠁⠝⠽⠏⠇⠁⠉⠑
anytime	在任何時候	⠁⠝⠽⠐⠞
anyway	不管怎樣	⠁⠝⠽⠺⠁⠽
anywhere	任何地方	⠁⠝⠽⠐⠱
backwards	向後;倒；逆;往回；向原處	⠃⠁⠉⠅⠺⠜⠙⠎
besides	並且	⠆⠎⠎
beyond	在更遠處	⠆⠽
especially	特別地	⠑⠎⠏⠑⠉⠊⠁⠇⠇⠽
forwards	向前;往後；今後;提前地	⠿⠺⠜⠙⠎
hardly	幾乎不；簡直不	⠓⠜⠙⠇⠽
however	無論如何；不管怎樣	⠓⠪⠐⠑
increasingly	漸增地	⠔⠉⠗⠂⠎⠬⠇⠽
nearly	幾乎；差不多;密切地；親密地	⠝⠑⠜⠇⠽
none	毫不；決不	⠝⠐⠕
rather	寧可;頗為	⠗
simply	簡單地；簡易地;簡明地;只不過	⠎⠊⠍⠏⠇⠽
somewhere	在某處	⠐⠎⠐⠱
therefore	因此	⠐⠮⠿⠑
through	穿過；通過;從頭至尾;(電話)接通	⠐⠹
throughout	處處;始終;在所有方面	⠐⠹⠳⠞
whenever	無論什麼時候	⠱⠢⠐⠑
wherever	無論什麼地方	⠱⠻⠐⠑
within	在內部	⠾⠔
without	在沒有(或缺少)的情況下	⠾⠳⠞
per	經；由;每;按照	⠏⠻
upon	在...之上	⠘⠥
worth	值得(做...)	⠺⠕⠗⠹
although	雖然	⠁⠇⠹
ability	能力;專門技能	⠁⠃⠊⠇⠰⠽
absence	缺席	⠁⠃⠎⠰⠑
addition	加;附加	⠁⠙⠙⠊⠰⠝
affair	事件;風流韻事;喜慶活動	⠁⠖⠁⠊⠗
aircraft	航空器;飛機	⠁⠊⠗⠉⠗⠁⠋⠞
airline	航空公司	⠁⠊⠗⠇⠔⠑
album	相簿;集郵簿;唱片集	⠁⠇⠃⠥⠍
almond	杏仁	⠁⠇⠍⠕⠝⠙
alphabet	字母	⠁⠇⠏⠓⠁⠃⠑⠞
ankle	腳踝	⠁⠝⠅⠇⠑
apartment	公寓	⠁⠐⠏⠰⠞
appearance	出現;顯露;外貌	⠁⠏⠏⠑⠜⠨⠑
appetite	胃口；食慾	⠁⠏⠏⠑⠞⠊⠞⠑
apron	圍裙;工作裙	⠁⠏⠗⠕⠝
argument	爭論	⠜⠛⠥⠰⠞
armchair	扶手椅子	⠜⠍⠡⠁⠊⠗
arrangement	安排;準備工作	⠜⠗⠁⠝⠛⠑⠰⠞
arrow	箭;箭號	⠜⠗⠪
artist	藝術家	⠜⠞⠊⠌
assistant	助手	⠁⠎⠎⠊⠌⠁⠝⠞
attention	注意;專心	⠁⠞⠞⠢⠰⠝
baby-sitter	保姆	⠃⠁⠃⠽⠤⠎⠊⠞⠞⠻
bakery	麵包店	⠃⠁⠅⠻⠽
balcony	陽臺	⠃⠁⠇⠉⠕⠝⠽
bamboo	竹子	⠃⠁⠍⠃⠕⠕
banker	銀行家;莊家	⠃⠁⠝⠅⠻
basement	地下室	⠃⠁⠎⠑⠰⠞
basics	基礎;基本原理(或原則)	⠃⠁⠎⠊⠉⠎
basis	基礎	⠃⠁⠎⠊⠎
bean	豆莢;豆子	⠃⠂⠝
beard	鬍子	⠃⠑⠜⠙
bedroom	臥房	⠃⠫⠗⠕⠕⠍
beef	牛肉	⠃⠑⠑⠋
beer	啤酒	⠃⠑⠻
beetle	甲蟲	⠃⠑⠑⠞⠇⠑
beginner	新手	⠆⠛⠔⠝⠻
belief	相信;信仰	⠆⠇⠊⠑⠋
bench	長凳;長椅	⠃⠢⠡
blackboard	黑板	⠃⠇⠁⠉⠅⠃⠕⠜⠙
bookcase	書架	⠃⠕⠕⠅⠉⠁⠎⠑
bowling	保齡球戲	⠃⠪⠇⠬
brain	腦;智力；頭腦	⠃⠗⠁⠔
brick	磚塊	⠃⠗⠊⠉⠅
brunch	早午餐	⠃⠗⠥⠝⠡
bun	小圓麵包	⠃⠥⠝
bundle	捆;大量	⠃⠥⠝⠙⠇⠑
burger	漢堡牛肉餅	⠃⠥⠗⠛⠻
business	商業;事	⠃⠥⠎⠊⠰⠎
cabbage	包心菜	⠉⠁⠆⠁⠛⠑
café	小餐館;咖啡廳	⠉⠁⠋⠘⠌⠑
cafeteria	自助餐館	⠉⠁⠋⠑⠞⠻⠊⠁
calendar	日曆;月曆;行事曆	⠉⠁⠇⠢⠙⠜
cancer	癌症	⠉⠨⠑⠗
candle	蠟燭	⠉⠯⠇⠑
captain	隊長;機長;艦長	⠉⠁⠏⠞⠁⠔
carrot	胡蘿蔔	⠉⠜⠗⠕⠞
cassette	卡式磁帶	⠉⠁⠎⠎⠑⠞⠞⠑
castle	城堡	⠉⠁⠌⠇⠑
catsup	果醬;番茄醬	⠉⠁⠞⠎⠥⠏
ceiling	天花板	⠉⠑⠊⠇⠬
cell	單人牢房;細胞;蜂房的巢室;電池	⠉⠑⠇⠇
century	一世紀	⠉⠢⠞⠥⠗⠽
cereal	麥片	⠉⠻⠂⠇
character	特性;角色;(中文)字	⠐⠡
chess	西洋棋	⠡⠑⠎⠎
chin	下巴	⠡⠔
chocolate	巧克力	⠡⠕⠉⠕⠇⠁⠞⠑
chopstick	筷子	⠡⠕⠏⠌⠊⠉⠅
citizen	市民;公民	⠉⠊⠞⠊⠵⠢
clay	黏土	⠉⠇⠁⠽
cleaner	清潔工;乾洗店;吸塵器;清潔劑	⠉⠇⠂⠝⠻
clerk	店員;辦事員;職員	⠉⠇⠻⠅
climate	氣候	⠉⠇⠊⠍⠁⠞⠑
closet	壁櫥;衣櫥	⠉⠇⠕⠎⠑⠞
cloth	布;(棉；毛；合成纖維等)織物;衣料	⠉⠇⠕⠹
clothes	衣服	⠉⠇⠕⠮⠎
clothing	(總稱)衣服；衣著	⠉⠇⠕⠹⠬
coal	煤	⠉⠕⠁⠇
cock	公雞	⠉⠕⠉⠅
cockroach	蟑螂	⠉⠕⠉⠅⠗⠕⠁⠡
company	公司	⠉⠕⠍⠏⠁⠝⠽
completion	完成；實現	⠉⠕⠍⠏⠇⠑⠰⠝
computer	電腦	⠉⠕⠍⠏⠥⠞⠻
Confucius	孔子	⠠⠒⠋⠥⠉⠊⠥⠎
congratulation	祝賀	⠒⠛⠗⠁⠞⠥⠇⠁⠰⠝
controller	主計官;主管;控制器	⠒⠞⠗⠕⠇⠇⠻
conversation	會話	⠒⠧⠻⠎⠁⠰⠝
cooker	炊具；烹調器具	⠉⠕⠕⠅⠻
corner	角落	⠉⠕⠗⠝⠻
cotton	棉花	⠉⠕⠞⠞⠕⠝
countryside	鄉間；農村	⠉⠨⠞⠗⠽⠎⠊⠙⠑
county	郡	⠉⠨⠞⠽
courage	勇氣	⠉⠳⠗⠁⠛⠑
cousin	表(堂)兄弟姊妹	⠉⠳⠎⠔
crab	螃蟹	⠉⠗⠁⠃
crayon	蠟筆	⠉⠗⠁⠽⠕⠝
crime	犯罪	⠉⠗⠊⠍⠑
crisis	危機;緊急關頭	⠉⠗⠊⠎⠊⠎
culture	文化	⠉⠥⠇⠞⠥⠗⠑
custom	習俗	⠉⠥⠌⠕⠍
customer	顧客	⠉⠥⠌⠕⠍⠻
data	資料；數據	⠙⠁⠞⠁
debt	債；借款	⠙⠑⠃⠞
decision	決定	⠙⠑⠉⠊⠨⠝
degree	程度	⠙⠑⠛⠗⠑⠑
dentist	牙醫	⠙⠢⠞⠊⠌
department	部門	⠙⠑⠐⠏⠰⠞
depth	深度；厚度	⠙⠑⠏⠹
dessert	餐後甜點	⠙⠑⠎⠎⠻⠞
development	生長;發展	⠙⠑⠧⠑⠇⠕⠏⠰⠞
dew	露水;朝氣	⠙⠑⠺
diamond	鑽石	⠙⠊⠁⠍⠕⠝⠙
diary	日記	⠙⠊⠜⠽
dictionary	字典	⠙⠊⠉⠰⠝⠜⠽
difference	差別	⠙⠊⠖⠻⠰⠑
difficulty	困難	⠙⠊⠖⠊⠉⠥⠇⠞⠽
dinosaur	恐龍	⠙⠔⠕⠎⠁⠥⠗
direction	方向;	⠙⠊⠗⠑⠉⠰⠝
director	董事;局長;主任;導演	⠙⠊⠗⠑⠉⠞⠕⠗
disagreement	意見不一;不一致	⠲⠁⠛⠗⠑⠑⠰⠞
discussion	討論	⠲⠉⠥⠎⠨⠝
division	區域;部分;除(法)	⠙⠊⠧⠊⠨⠝
dolphin	海豚	⠙⠕⠇⠏⠓⠔
donkey	驢子	⠙⠕⠝⠅⠑⠽
doughnut	油炸圈餅	⠙⠳⠣⠝⠥⠞
dragon	龍	⠙⠗⠁⠛⠕⠝
dragonfly	蜻蜓	⠙⠗⠁⠛⠕⠝⠋⠇⠽
drama	戲劇	⠙⠗⠁⠍⠁
drawer	抽屜	⠙⠗⠁⠺⠻
drawing	描繪；素描;製圖;抽籤;提款	⠙⠗⠁⠺⠬
drugstore	(常兼售雜貨的)藥房	⠙⠗⠥⠛⠌⠕⠗⠑
dryer	烘衣機	⠙⠗⠽⠻
dumpling	餃子	⠙⠥⠍⠏⠇⠬
duty	義務;關稅	⠙⠥⠞⠽
earthquake	地震	⠑⠜⠹⠟⠥⠁⠅⠑
education	教育	⠫⠥⠉⠁⠰⠝
effort	努力	⠑⠋⠿⠞
element	要素；成分	⠑⠇⠑⠰⠞
elevator	電梯;升降機	⠑⠇⠑⠧⠁⠞⠕⠗
emotion	情緒	⠑⠍⠕⠰⠝
encouragement	鼓勵;獎勵;促進	⠢⠉⠳⠗⠁⠛⠑⠰⠞
ending	結局；結尾;終結;字尾	⠢⠙⠬
enemy	敵人	⠢⠑⠍⠽
energy	精力;能量	⠢⠻⠛⠽
enjoyment	樂趣；享受	⠢⠚⠕⠽⠰⠞
entrance	入口	⠢⠞⠗⠨⠑
envelope	信封	⠢⠧⠑⠇⠕⠏⠑
environment	環境	⠢⠧⠊⠗⠕⠝⠰⠞
eraser	橡皮擦	⠻⠁⠎⠻
error	錯誤	⠻⠗⠕⠗
event	事件	⠑⠧⠢⠞
excitement	刺激;興奮；激動	⠑⠭⠉⠊⠞⠑⠰⠞
eyebrow	眉；眉毛	⠑⠽⠑⠃⠗⠪
failure	失敗	⠋⠁⠊⠇⠥⠗⠑
fee	費用	⠋⠑⠑
fellow	伙伴;同事	⠋⠑⠇⠇⠪
festival	節日	⠋⠑⠌⠊⠧⠁⠇
fever	發燒	⠋⠐⠑
field	原野;田賽場地;野外	⠋⠊⠑⠇⠙
fighter	戰士；鬥士	⠋⠊⠣⠞⠻
fireman	消防隊員	⠋⠊⠗⠑⠍⠁⠝
firewoman	女消防隊員	⠋⠊⠗⠑⠺⠕⠍⠁⠝
fisherman	漁夫	⠋⠊⠩⠻⠍⠁⠝
flashlight	手電筒	⠋⠇⠁⠩⠇⠊⠣⠞
flight	飛行	⠋⠇⠊⠣⠞
flu	流行性感冒	⠋⠇⠥
football	美式足球	⠋⠕⠕⠞⠃⠁⠇⠇
foreigner	外國人	⠿⠑⠊⠛⠝⠻
fox	狐狸	⠋⠕⠭
freedom	自由	⠋⠗⠑⠫⠕⠍
freezer	冰箱的冷凍部;冷凍箱	⠋⠗⠑⠑⠵⠻
fridge	電冰箱	⠋⠗⠊⠙⠛⠑
fright	驚嚇；恐怖	⠋⠐⠗
garbage	垃圾	⠛⠜⠃⠁⠛⠑
gardener	園丁;花匠	⠛⠜⠙⠢⠻
gate	柵門;登機門	⠛⠁⠞⠑
general	將軍	⠛⠢⠻⠁⠇
gentleman	紳士	⠛⠢⠞⠇⠑⠍⠁⠝
geography	地理	⠛⠑⠕⠛⠗⠁⠏⠓⠽
giraffe	長頸鹿	⠛⠊⠗⠁⠖⠑
glove	手套	⠛⠇⠕⠧⠑
goal	目標;球門	⠛⠕⠁⠇
goat	山羊	⠛⠕⠁⠞
government	政府	⠛⠕⠧⠻⠝⠰⠞
grape	葡萄	⠛⠗⠁⠏⠑
growth	成長;發育;增大	⠛⠗⠪⠹
guava	番石榴	⠛⠥⠁⠧⠁
guitar	吉他	⠛⠥⠊⠞⠜
guy	傢伙;人	⠛⠥⠽
habit	習慣	⠓⠁⠃⠊⠞
hall	大廳;講堂	⠓⠁⠇⠇
hamburger	漢堡	⠓⠁⠍⠃⠥⠗⠛⠻
handkerchief	手帕	⠓⠯⠅⠻⠡⠊⠑⠋
hanger	衣架	⠓⠁⠝⠛⠻
heater	暖氣機	⠓⠂⠞⠻
height	高度	⠓⠑⠊⠣⠞
hen	母雞	⠓⠢
hero	英雄	⠓⠻⠕
heroine	女英雄；女傑	⠓⠻⠕⠔⠑
highway	公路;幹道	⠓⠊⠣⠺⠁⠽
hip	臀部	⠓⠊⠏
hippo	河馬	⠓⠊⠏⠏⠕
hippopotamus	河馬	⠓⠊⠏⠏⠕⠏⠕⠞⠁⠍⠥⠎
hobby	嗜好	⠓⠕⠆⠽
holder	持有者;支托物	⠓⠕⠇⠙⠻
honey	蜂蜜;心愛的人	⠓⠐⠕⠽
hospital	醫院	⠓⠕⠎⠏⠊⠞⠁⠇
host	主人	⠓⠕⠌
hostess	女主人	⠓⠕⠌⠑⠎⠎
hotel	旅館	⠓⠕⠞⠑⠇
humor	幽默	⠓⠥⠍⠕⠗
hunger	饑餓	⠓⠥⠝⠛⠻
hunter	獵人	⠓⠥⠝⠞⠻
icebox	冷藏庫;冰箱	⠊⠉⠑⠃⠕⠭
importance	重要性	⠊⠍⠏⠕⠗⠞⠨⠑
improvement	改進；改善	⠊⠍⠏⠗⠕⠧⠑⠰⠞
income	收入	⠔⠉⠕⠍⠑
independence	獨立;自主;自立	⠔⠙⠑⠏⠢⠙⠰⠑
industry	企業;行業	⠔⠙⠥⠌⠗⠽
insect	昆蟲	⠔⠎⠑⠉⠞
instrument	儀器	⠔⠌⠗⠥⠰⠞
invitation	邀請	⠔⠧⠊⠞⠁⠰⠝
island	島嶼	⠊⠎⠇⠯
item	項目;品目	⠊⠞⠑⠍
jacket	夾克;外套	⠚⠁⠉⠅⠑⠞
jeans	牛仔褲	⠚⠂⠝⠎
jeep	吉普車	⠚⠑⠑⠏
judgement	審判;	⠚⠥⠙⠛⠑⠰⠞
judgment	審判;裁判;判斷力	⠚⠥⠙⠛⠰⠞
ketchup	番茄醬	⠅⠑⠞⠡⠥⠏
kindergarten	幼稚園	⠅⠔⠙⠻⠛⠜⠞⠢
kingdom	王國	⠅⠬⠙⠕⠍
knowledge	學問;知識	⠅
koala	澳洲產無尾熊	⠅⠕⠁⠇⠁
ladybird	瓢蟲	⠇⠁⠙⠽⠃⠊⠗⠙
ladybug	瓢蟲	⠇⠁⠙⠽⠃⠥⠛
lane	巷；弄;車道	⠇⠁⠝⠑
language	語言	⠇⠁⠝⠛⠥⠁⠛⠑
lantern	燈籠	⠇⠁⠝⠞⠻⠝
lap	膝部;(衣；裙等的)下襬	⠇⠁⠏
lawyer	律師	⠇⠁⠺⠽⠻
leadership	領導才能	⠇⠂⠙⠻⠩⠊⠏
lemon	檸檬	⠇⠑⠍⠕⠝
lemonade	檸檬水	⠇⠑⠍⠕⠝⠁⠙⠑
length	(距離；尺寸的)長度	⠇⠢⠛⠹
leopard	豹;美洲豹	⠇⠑⠕⠏⠜⠙
lettuce	類似萵苣的生菜	⠇⠑⠞⠞⠥⠉⠑
library	圖書館	⠇⠊⠃⠗⠜⠽
lid	蓋子	⠇⠊⠙
lightning	閃電	⠇⠊⠣⠞⠝⠬
liquid	液體	⠇⠊⠟⠥⠊⠙
listener	傾聽者	⠇⠊⠌⠢⠻
loaf	一條(麵包)	⠇⠕⠁⠋
loser	輸家	⠇⠕⠎⠻
loss	損失	⠇⠕⠎⠎
lover	情人	⠇⠕⠧⠻
luck	好運;幸運	⠇⠥⠉⠅
magazine	雜誌	⠍⠁⠛⠁⠵⠔⠑
magician	魔術師	⠍⠁⠛⠊⠉⠊⠁⠝
Mandarin	中國的官話(北京話)	⠠⠍⠯⠜⠔
mango	芒果	⠍⠁⠝⠛⠕
manner	舉止;態度	⠍⠁⠝⠝⠻
marriage	結婚；婚姻	⠍⠜⠗⠊⠁⠛⠑
mass	團;塊	⠍⠁⠎⠎
mat	蓆子;墊子	⠍⠁⠞
meal	餐	⠍⠂⠇
meaning	意義	⠍⠂⠝⠬
means	手段；方法;工具;收入	⠍⠂⠝⠎
measurement	測量法;測定;尺寸	⠍⠂⠎⠥⠗⠑⠰⠞
medicine	藥	⠍⠫⠊⠉⠔⠑
meeting	集會	⠍⠑⠑⠞⠬
melody	旋律;主調	⠍⠑⠇⠕⠙⠽
melon	瓜；甜瓜	⠍⠑⠇⠕⠝
member	會員	⠍⠑⠍⠃⠻
memory	記憶	⠍⠑⠍⠕⠗⠽
menu	菜單	⠍⠢⠥
message	消息;音信	⠍⠑⠎⠎⠁⠛⠑
metal	金屬	⠍⠑⠞⠁⠇
meter	公尺;計量器	⠍⠑⠞⠻
method	方法	⠍⠑⠹⠕⠙
metro	地下鐵道	⠍⠑⠞⠗⠕
million	百萬	⠍⠊⠇⠇⠊⠕⠝
monster	怪物	⠍⠕⠝⠌⠻
mosquito	蚊子	⠍⠕⠎⠟⠥⠊⠞⠕
moth	蛾;蠹；蛀蟲	⠍⠕⠹
motorcycle	機車	⠍⠕⠞⠕⠗⠉⠽⠉⠇⠑
mule	騾;固執的人	⠍⠥⠇⠑
museum	博物館	⠍⠥⠎⠑⠥⠍
musician	音樂家	⠍⠥⠎⠊⠉⠊⠁⠝
napkin	餐巾	⠝⠁⠏⠅⠔
necklace	項鍊	⠝⠑⠉⠅⠇⠁⠉⠑
nephew	侄子;外甥	⠝⠑⠏⠓⠑⠺
niece	侄女;外甥女	⠝⠊⠑⠉⠑
nobody	無名小子	⠝⠕⠃⠕⠙⠽
noodle	麵	⠝⠕⠕⠙⠇⠑
notebook	筆記本	⠝⠕⠞⠑⠃⠕⠕⠅
nut	核果	⠝⠥⠞
onion	洋蔥	⠕⠝⠊⠕⠝
opinion	意見	⠕⠏⠔⠊⠕⠝
organ	器官	⠕⠗⠛⠁⠝
organization	組織	⠕⠗⠛⠁⠝⠊⠵⠁⠰⠝
oven	烤箱	⠕⠧⠢
overpass	天橋	⠕⠧⠻⠏⠁⠎⠎
owl	貓頭鷹	⠪⠇
owner	物主	⠪⠝⠻
ox	公牛	⠕⠭
painter	油漆匠;畫家	⠏⠁⠔⠞⠻
painting	油畫；水彩畫	⠏⠁⠔⠞⠬
pajamas	睡衣	⠏⠁⠚⠁⠍⠁⠎
palm	手掌；手心	⠏⠁⠇⠍
pan	平鍋	⠏⠁⠝
panda	貓熊	⠏⠯⠁
papaya	木瓜	⠏⠁⠏⠁⠽⠁
partner	夥伴	⠐⠏⠝⠻
passenger	乘客	⠏⠁⠎⠎⠢⠛⠻
path	小徑;路線	⠏⠁⠹
peace	和平	⠏⠂⠉⠑
peach	桃子	⠏⠂⠡
peanut	花生;花生果;花生米	⠏⠂⠝⠥⠞
pear	梨子	⠏⠑⠜
penguin	企鵝	⠏⠢⠛⠥⠔
period	一段時間;一堂課	⠏⠻⠊⠕⠙
photographer	攝影師；照相師	⠏⠓⠕⠞⠕⠛⠗⠁⠏⠓⠻
pigeon	鴿子	⠏⠊⠛⠑⠕⠝
pineapple	鳳梨	⠏⠔⠑⠁⠏⠏⠇⠑
ping-pong	乒乓球；桌球	⠏⠬⠤⠏⠰⠛
pizza	披薩	⠏⠊⠵⠵⠁
planet	行星	⠏⠇⠁⠝⠑⠞
platform	月台;平台	⠏⠇⠁⠞⠿⠍
pleasure	愉快	⠏⠇⠂⠎⠥⠗⠑
poem	詩	⠏⠕⠑⠍
poet	詩人	⠏⠕⠑⠞
policy	政策;策略	⠏⠕⠇⠊⠉⠽
population	人口	⠏⠕⠏⠥⠇⠁⠰⠝
pork	豬肉	⠏⠕⠗⠅
port	港	⠏⠕⠗⠞
possibility	可能性	⠏⠕⠎⠎⠊⠃⠊⠇⠰⠽
postcard	明信片	⠏⠕⠌⠉⠜⠙
potato	馬鈴薯	⠏⠕⠞⠁⠞⠕
presence	出席；在場	⠏⠗⠑⠎⠰⠑
president	校長;總統	⠏⠗⠑⠎⠊⠙⠢⠞
prince	王子	⠏⠗⠔⠉⠑
princess	公主	⠏⠗⠔⠉⠑⠎⠎
principle	主義;真諦	⠏⠗⠔⠉⠊⠏⠇⠑
printer	印表機;印刷業者	⠏⠗⠔⠞⠻
prison	監獄	⠏⠗⠊⠎⠕⠝
prisoner	囚犯;俘虜	⠏⠗⠊⠎⠕⠝⠻
producer	生產者；製造者製片人	⠏⠗⠕⠙⠥⠉⠻
pudding	布丁	⠏⠥⠙⠙⠬
pumpkin	南瓜	⠏⠥⠍⠏⠅⠔
punishment	處罰;懲罰	⠏⠥⠝⠊⠩⠰⠞
pupil	學生	⠏⠥⠏⠊⠇
puppet	木偶;傀儡	⠏⠥⠏⠏⠑⠞
puppy	小狗	⠏⠥⠏⠏⠽
purse	錢包	⠏⠥⠗⠎⠑
quality	品質	⠟⠥⠁⠇⠰⠽
quantity	量	⠟⠥⠁⠝⠞⠰⠽
rabbit	兔子	⠗⠁⠆⠊⠞
reality	現實;真實	⠗⠂⠇⠰⠽
rectangle	長方形	⠗⠑⠉⠞⠁⠝⠛⠇⠑
refrigerator	電冰箱	⠗⠑⠋⠗⠊⠛⠻⠁⠞⠕⠗
region	地區；地帶	⠗⠑⠛⠊⠕⠝
relation	關係；關聯	⠗⠑⠇⠁⠰⠝
relationship	關係；關聯;人際關係	⠗⠑⠇⠁⠰⠝⠩⠊⠏
reporter	記者	⠗⠑⠏⠕⠗⠞⠻
requirement	需要;必需品	⠗⠑⠟⠥⠊⠗⠑⠰⠞
restaurant	餐廳	⠗⠑⠌⠁⠥⠗⠁⠝⠞
restroom	廁所	⠗⠑⠌⠗⠕⠕⠍
riches	財富；財產;富有；豐饒	⠗⠊⠡⠑⠎
roach	蟑螂	⠗⠕⠁⠡
role	角色	⠗⠕⠇⠑
roll	滾動;(一)捲;捲餅;隆隆聲;名單	⠗⠕⠇⠇
ruler	尺;統治者	⠗⠥⠇⠻
runner	賽跑者;逃亡者	⠗⠥⠝⠝⠻
safety	安全	⠎⠁⠋⠑⠞⠽
sailor	水手	⠎⠁⠊⠇⠕⠗
salad	沙拉	⠎⠁⠇⠁⠙
science	科學	⠎⠉⠊⠰⠑
scientist	科學家	⠎⠉⠊⠢⠞⠊⠌
scissors	剪刀	⠎⠉⠊⠎⠎⠕⠗⠎
secretary	秘書	⠎⠑⠉⠗⠑⠞⠜⠽
selection	選擇;選拔;選集；文選	⠎⠑⠇⠑⠉⠰⠝
semester	學期	⠎⠑⠍⠑⠌⠻
servant	雇工	⠎⠻⠧⠁⠝⠞
settlement	解決;清算;定居	⠎⠑⠞⠞⠇⠑⠰⠞
shelf	架子	⠩⠑⠇⠋
shorts	短褲	⠩⠕⠗⠞⠎
shrimp	蝦子	⠩⠗⠊⠍⠏
sidewalk	路邊行人道	⠎⠊⠙⠑⠺⠁⠇⠅
silk	蠶絲；絲;絲織物(品)；綢布	⠎⠊⠇⠅
slipper	拖鞋	⠎⠇⠊⠏⠏⠻
snail	蝸牛	⠎⠝⠁⠊⠇
soccer	足球	⠎⠕⠒⠻
society	社會	⠎⠕⠉⠊⠑⠞⠽
sock	短襪	⠎⠕⠉⠅
soldier	軍人	⠎⠕⠇⠙⠊⠻
solution	解答;溶劑	⠎⠕⠇⠥⠰⠝
somebody	某人;有名氣的人	⠐⠎⠃⠕⠙⠽
source	源頭	⠎⠳⠗⠉⠑
soy	醬油;大豆	⠎⠕⠽
soybean	大豆	⠎⠕⠽⠃⠂⠝
speaker	演講者;揚聲器	⠎⠏⠂⠅⠻
spelling	拼字;拼寫;拼法	⠎⠏⠑⠇⠇⠬
spider	蜘蛛	⠎⠏⠊⠙⠻
spinach	菠菜	⠎⠏⠔⠁⠡
spirit	精神	⠸⠎
squirrel	松鼠	⠎⠟⠥⠊⠗⠗⠑⠇
steak	牛排	⠌⠂⠅
stove	爐灶	⠌⠕⠧⠑
stranger	陌生人	⠌⠗⠁⠝⠛⠻
straw	稻草;吸管	⠌⠗⠁⠺
strawberry	草莓	⠌⠗⠁⠺⠃⠻⠗⠽
subject	主題;學科	⠎⠥⠃⠚⠑⠉⠞
subway	地鐵	⠎⠥⠃⠺⠁⠽
success	成功	⠎⠥⠒⠑⠎⠎
supermarket	超級市場	⠎⠥⠏⠻⠍⠜⠅⠑⠞
swan	天鵝	⠎⠺⠁⠝
sweater	毛衣	⠎⠺⠂⠞⠻
symbol	符號;象徵	⠎⠽⠍⠃⠕⠇
table	tennis	⠞⠁⠃⠇⠑
talent	天才	⠞⠁⠇⠢⠞
