aberrant	異常的；脫軌的	⠁⠃⠻⠗⠁⠝⠞
hamper	阻礙；妨礙	⠓⠁⠍⠏⠻
handy	便利的；手邊的	⠓⠯⠽
hang	懸掛；吊	⠓⠁⠝⠛
haphazard	偶然的；隨意的	⠓⠁⠏⠓⠁⠵⠜⠙
harmony	和諧；協調	⠓⠜⠍⠕⠝⠽
harness	利用；控制	⠓⠜⠰⠎
harsh	嚴厲的；刺耳的	⠓⠜⠩
hasty	匆忙的；倉促的	⠓⠁⠌⠽
haul	拖；拉；運送	⠓⠁⠥⠇
havoc	大破壞；混亂	⠓⠁⠧⠕⠉
hazardous	危險的；有害的	⠓⠁⠵⠜⠙⠳⠎
heed	注意；留心	⠓⠑⠫
heighten	提高；增強	⠓⠑⠊⠣⠞⠢
heir	繼承人；後嗣	⠓⠑⠊⠗
hence	因此；由此	⠓⠰⠑
heritage	遺產；傳統	⠓⠻⠊⠞⠁⠛⠑
heterogeneous	異質的；多樣的	⠓⠑⠞⠻⠕⠛⠢⠑⠳⠎
hibernated	休眠的；冬眠的	⠓⠊⠃⠻⠝⠁⠞⠫
hinder	阻礙；妨礙	⠓⠔⠙⠻
hint	暗示；提示	⠓⠔⠞
hole	洞；缺陷	⠓⠕⠇⠑
hollow	空的；中空的	⠓⠕⠇⠇⠪
homogeneous	同質的；均勻的	⠓⠕⠍⠕⠛⠢⠑⠳⠎
horizon	地平線；視野	⠓⠕⠗⠊⠵⠕⠝
hub	中心；樞紐	⠓⠥⠃
hurdle	障礙；跨欄	⠓⠥⠗⠙⠇⠑
hypothetical	假設的；假想的	⠓⠽⠏⠕⠮⠞⠊⠉⠁⠇
identify	識別；確定	⠊⠙⠢⠞⠊⠋⠽
idiosyncrasies	特質；怪癖	⠊⠙⠊⠕⠎⠽⠝⠉⠗⠁⠎⠊⠑⠎
ignite	點燃；激起	⠊⠛⠝⠊⠞⠑
illusion	幻覺；錯覺	⠊⠇⠇⠥⠨⠝
imitate	模仿；仿效	⠊⠍⠊⠞⠁⠞⠑
immense	巨大的；廣大的	⠊⠍⠍⠢⠎⠑
immigration	移民；移居	⠊⠍⠍⠊⠛⠗⠁⠰⠝
immobile	不動的；固定的	⠊⠍⠍⠕⠃⠊⠇⠑
immoral	不道德的；邪惡的	⠊⠍⠍⠕⠗⠁⠇
impediment	障礙；妨礙	⠊⠍⠏⠫⠊⠰⠞
impenetrable	無法穿透的；不可理解的	⠊⠍⠏⠢⠑⠞⠗⠁⠃⠇⠑
impermeable	不可滲透的；防水的	⠊⠍⠏⠻⠍⠂⠃⠇⠑
impervious	不能滲透的；無動於衷的	⠊⠍⠏⠻⠧⠊⠳⠎
impetus	動力；刺激	⠊⠍⠏⠑⠞⠥⠎
implant	植入；灌輸	⠊⠍⠏⠇⠁⠝⠞
implausible	難以置信的；不合情理的	⠊⠍⠏⠇⠁⠥⠎⠊⠃⠇⠑
implement	實施；執行	⠊⠍⠏⠇⠑⠰⠞
implication	含義；暗示	⠊⠍⠏⠇⠊⠉⠁⠰⠝
imply	暗示；意味著	⠊⠍⠏⠇⠽
imposing	壯觀的；威嚴的	⠊⠍⠏⠕⠎⠬
imprecise	不精確的；模糊的	⠊⠍⠏⠗⠑⠉⠊⠎⠑
impressive	令人印象深刻的；引人注目的	⠊⠍⠏⠗⠑⠎⠎⠊⠧⠑
improbable	不大可能的；未必會發生的	⠊⠍⠏⠗⠕⠃⠁⠃⠇⠑
improper	不適當的；不合適的	⠊⠍⠏⠗⠕⠏⠻
impulsive	衝動的；易衝動的	⠊⠍⠏⠥⠇⠎⠊⠧⠑
inadequate	不足的；不夠好的	⠔⠁⠙⠑⠟⠥⠁⠞⠑
inauspicious	不祥的；不利的	⠔⠁⠥⠎⠏⠊⠉⠊⠳⠎
incentive	激勵；動力	⠔⠉⠢⠞⠊⠧⠑
incidentally	順便說一句；偶然地	⠔⠉⠊⠙⠢⠞⠁⠇⠇⠽
incite	煽動；激起	⠔⠉⠊⠞⠑
inclement	惡劣的；嚴酷的	⠔⠉⠇⠑⠰⠞
inclination	傾向；愛好	⠔⠉⠇⠔⠁⠰⠝
incline	傾斜；傾向	⠔⠉⠇⠔⠑
inconceivable	難以置信的；不可思議的	⠔⠉⠕⠝⠉⠑⠊⠧⠁⠃⠇⠑
inconclusive	不確定的；無定論的	⠔⠉⠕⠝⠉⠇⠥⠎⠊⠧⠑
incorporate	合併；包含	⠔⠉⠕⠗⠏⠕⠗⠁⠞⠑
incredible	難以置信的；驚人的	⠔⠉⠗⠫⠊⠃⠇⠑
incursion	入侵；侵入	⠔⠉⠥⠗⠨⠝
indicate	表明；指出	⠔⠙⠊⠉⠁⠞⠑
indigenous	本土的；土著的	⠔⠙⠊⠛⠢⠳⠎
induce	引起；促使	⠔⠙⠥⠉⠑
ineffectively	無效地；不成功地	⠔⠑⠖⠑⠉⠞⠊⠧⠑⠇⠽
inert	惰性的；無活力的	⠔⠻⠞
inessential	不必要的；非必要的	⠔⠑⠎⠎⠢⠞⠊⠁⠇
inevitable	不可避免的；必然的	⠔⠑⠧⠊⠞⠁⠃⠇⠑
infer	推斷；推論	⠔⠋⠻
infirm	體弱的；虛弱的	⠔⠋⠊⠗⠍
inflate	膨脹；充氣	⠔⠋⠇⠁⠞⠑
infrastructure	基礎設施；公共建設	⠔⠋⠗⠁⠌⠗⠥⠉⠞⠥⠗⠑
ingenious	巧妙的；有創意的	⠔⠛⠢⠊⠳⠎
ingenuity	獨創性；聰明才智	⠔⠛⠢⠥⠰⠽
inhabitant	居民；居住者	⠔⠓⠁⠃⠊⠞⠁⠝⠞
inherent	固有的；內在的	⠔⠓⠻⠢⠞
inhibit	抑制；阻止	⠔⠓⠊⠃⠊⠞
inhospitable	不友好的；不適合居住的	⠔⠓⠕⠎⠏⠊⠞⠁⠃⠇⠑
initially	最初；起初	⠔⠊⠞⠊⠁⠇⠇⠽
initiate	開始；發起	⠔⠊⠞⠊⠁⠞⠑
innovative	創新的；革新的	⠔⠝⠕⠧⠁⠞⠊⠧⠑
innumerable	無數的；數不清的	⠔⠝⠥⠍⠻⠁⠃⠇⠑
inordinate	過度的；無節制的	⠔⠕⠗⠙⠔⠁⠞⠑
instantaneous	瞬間的；即刻的	⠔⠌⠁⠝⠞⠁⠝⠑⠳⠎
instigate	煽動；引起	⠔⠌⠊⠛⠁⠞⠑
instinctive	本能的；直覺的	⠔⠌⠔⠉⠞⠊⠧⠑
instructive	有教育意義的；有啟發性的	⠔⠌⠗⠥⠉⠞⠊⠧⠑
insufficient	不足的；不夠的	⠔⠎⠥⠖⠊⠉⠊⠢⠞
intact	完整的；未受損的	⠔⠞⠁⠉⠞
intangible	無形的；難以捉摸的	⠔⠞⠁⠝⠛⠊⠃⠇⠑
integral	必需的；整體的	⠔⠞⠑⠛⠗⠁⠇
intense	強烈的；劇烈的	⠔⠞⠢⠎⠑
intensify	加劇；增強	⠔⠞⠢⠎⠊⠋⠽
intentionally	故意地；有意地	⠔⠞⠢⠰⠝⠁⠇⠇⠽
interfere	干涉；干擾	⠔⠞⠻⠋⠻⠑
intermittent	間歇的；斷斷續續的	⠔⠞⠻⠍⠊⠞⠞⠢⠞
internal	內部的；體內的	⠔⠞⠻⠝⠁⠇
intimate	親密的；私人的	⠔⠞⠊⠍⠁⠞⠑
intricate	複雜的；精細的	⠔⠞⠗⠊⠉⠁⠞⠑
intrigue	激起興趣；密謀	⠔⠞⠗⠊⠛⠥⠑
intrinsic	固有的；內在的	⠔⠞⠗⠔⠎⠊⠉
intrusive	侵入的；打擾的	⠔⠞⠗⠥⠎⠊⠧⠑
invade	入侵；侵略	⠔⠧⠁⠙⠑
invaluable	非常寶貴的；無法估量的	⠔⠧⠁⠇⠥⠁⠃⠇⠑
invariably	總是；不變地	⠔⠧⠜⠊⠁⠃⠇⠽
inventive	有創造力的；善於發明的	⠔⠧⠢⠞⠊⠧⠑
investigate	調查；研究	⠔⠧⠑⠌⠊⠛⠁⠞⠑
inveterate	根深蒂固的；習慣性的	⠔⠧⠑⠞⠻⠁⠞⠑
inviolable	不可侵犯的；神聖的	⠔⠧⠊⠕⠇⠁⠃⠇⠑
invoke	祈求；調用	⠔⠧⠕⠅⠑
irregularity	不規則；異常	⠊⠗⠗⠑⠛⠥⠇⠜⠰⠽
irreparable	不可修復的；無法彌補的	⠊⠗⠗⠑⠏⠜⠁⠃⠇⠑
isolated	孤立的；偏僻的	⠊⠎⠕⠇⠁⠞⠫
jettison	拋棄；丟棄	⠚⠑⠞⠞⠊⠎⠕⠝
jolt	震動；震驚	⠚⠕⠇⠞
judge	判斷；評判	⠚⠥⠙⠛⠑
junction	交叉點；接合處	⠚⠥⠝⠉⠰⠝
juncture	時刻；關頭	⠚⠥⠝⠉⠞⠥⠗⠑
justify	證明......是正當的；為......辯護	⠚⠥⠌⠊⠋⠽
lack	缺乏；不足	⠇⠁⠉⠅
lading	裝貨；貨物	⠇⠁⠙⠬
landscape	風景；景觀	⠇⠯⠎⠉⠁⠏⠑
lasting	持久的；耐久的	⠇⠁⠌⠬
launch	發射；啟動	⠇⠁⠥⠝⠡
lavish	奢華的；慷慨的	⠇⠁⠧⠊⠩
legacy	遺產；傳承	⠇⠑⠛⠁⠉⠽
legitimately	合法地；正當地	⠇⠑⠛⠊⠞⠊⠍⠁⠞⠑⠇⠽
leisurely	悠閒的；從容的	⠇⠑⠊⠎⠥⠗⠑⠇⠽
lethal	致命的；致死的	⠇⠑⠹⠁⠇
liberal	自由的；開放的	⠇⠊⠃⠻⠁⠇
liken	把......比作；相提並論	⠇⠊⠅⠢
likewise	同樣地；也	⠇⠊⠅⠑⠺⠊⠎⠑
linger	逗留；徘徊	⠇⠬⠻
livelihood	生計；生活	⠇⠊⠧⠑⠇⠊⠓⠕⠕⠙
lively	活潑的；生動的	⠇⠊⠧⠑⠇⠽
locale	場所；地點	⠇⠕⠉⠁⠇⠑
locate	定位；找到	⠇⠕⠉⠁⠞⠑
loyal	忠誠的；忠心的	⠇⠕⠽⠁⠇
lucrative	有利可圖的；賺錢的	⠇⠥⠉⠗⠁⠞⠊⠧⠑
luxuriant	茂盛的；豐富的	⠇⠥⠭⠥⠗⠊⠁⠝⠞
magnificent	壯麗的；宏偉的	⠍⠁⠛⠝⠊⠋⠊⠉⠢⠞
magnify	放大；誇大	⠍⠁⠛⠝⠊⠋⠽
magnitude	大小；重要性	⠍⠁⠛⠝⠊⠞⠥⠙⠑
majestic	壯觀的；莊嚴的	⠍⠁⠚⠑⠌⠊⠉
malleable	可塑的；易受影響的	⠍⠁⠇⠇⠂⠃⠇⠑
mandatory	強制的；必須的	⠍⠯⠁⠞⠕⠗⠽
manifest	顯示；顯現	⠍⠁⠝⠊⠋⠑⠌
manipulate	操縱；控制	⠍⠁⠝⠊⠏⠥⠇⠁⠞⠑
markedly	顯著地；明顯地	⠍⠜⠅⠫⠇⠽
massive	巨大的；大規模的	⠍⠁⠎⠎⠊⠧⠑
mastery	精通；掌握	⠍⠁⠌⠻⠽
matter	事情；物質	⠍⠁⠞⠞⠻
measure	測量；措施	⠍⠂⠎⠥⠗⠑
merely	僅僅；不過	⠍⠻⠑⠇⠽
merge	合併；融合	⠍⠻⠛⠑
meticulously	細緻地；一絲不苟地	⠍⠑⠞⠊⠉⠥⠇⠳⠎⠇⠽
microbe	微生物；細菌	⠍⠊⠉⠗⠕⠃⠑
milestone	里程碑；重要事件	⠍⠊⠇⠑⠌⠐⠕
milky way	銀河系	⠍⠊⠇⠅⠽⠀⠺⠁⠽
mimic	模仿；仿效	⠍⠊⠍⠊⠉
miniature	微型的；小規模的	⠍⠔⠊⠁⠞⠥⠗⠑
minimal	最小的；最低限度的	⠍⠔⠊⠍⠁⠇
minuscule	極小的；微小的	⠍⠔⠥⠎⠉⠥⠇⠑
minutely	詳細地；精細地	⠍⠔⠥⠞⠑⠇⠽
mirror	鏡子；反映	⠍⠊⠗⠗⠕⠗
mock	嘲笑；模擬	⠍⠕⠉⠅
modest	謙虛的；適度的	⠍⠕⠙⠑⠌
modification	修改；改進	⠍⠕⠙⠊⠋⠊⠉⠁⠰⠝
momentous	重大的；關鍵的	⠍⠕⠰⠞⠳⠎
monopolize	壟斷；獨占	⠍⠕⠝⠕⠏⠕⠇⠊⠵⠑
monotonous	單調乏味的；無變化的	⠍⠕⠝⠕⠞⠕⠝⠳⠎
motif	主題；圖案	⠍⠕⠞⠊⠋
motiveless	無動機的；無理由的	⠍⠕⠞⠊⠧⠑⠨⠎
mount	增加；登上	⠍⠨⠞
mundane	平凡的；世俗的	⠍⠥⠝⠙⠁⠝⠑
myriad	無數的；大量的	⠍⠽⠗⠊⠁⠙
narrow	狹窄的；縮小	⠝⠜⠗⠪
nearly	幾乎；差不多	⠝⠑⠜⠇⠽
neglect	忽視；疏忽	⠝⠑⠛⠇⠑⠉⠞
nevertheless	然而；儘管如此	⠝⠐⠑⠮⠨⠎
nocturnal	夜間的；夜行的	⠝⠕⠉⠞⠥⠗⠝⠁⠇
notwithstanding	儘管；雖然	⠝⠕⠞⠾⠌⠯⠬
novel	新穎的；小說	⠝⠕⠧⠑⠇
obligatory	必須的；強制的	⠕⠃⠇⠊⠛⠁⠞⠕⠗⠽
oblige	迫使；使有義務	⠕⠃⠇⠊⠛⠑
obscure	模糊的；難解的	⠕⠃⠎⠉⠥⠗⠑
obsession	痴迷；困擾	⠕⠃⠎⠑⠎⠨⠝
obtain	獲得；取得	⠕⠃⠞⠁⠔
obvious	明顯的；顯而易見的	⠕⠃⠧⠊⠳⠎
occasion	場合；時機	⠕⠒⠁⠨⠝
occasionally	偶爾；有時	⠕⠒⠁⠨⠝⠁⠇⠇⠽
occur	發生；出現	⠕⠒⠥⠗
occurrence	發生；事件	⠕⠒⠥⠗⠗⠰⠑
offset	抵消；補償	⠷⠋⠎⠑⠞
omit	省略；遺漏	⠕⠍⠊⠞
ongoing	正在進行的；持續的	⠕⠝⠛⠕⠬
onset	開始；發作	⠕⠝⠎⠑⠞
opaque	不透明的；難理解的	⠕⠏⠁⠟⠥⠑
operation	操作；運作	⠕⠏⠻⠁⠰⠝
oppose	反對；抵制	⠕⠏⠏⠕⠎⠑
optimal	最佳的；最優的	⠕⠏⠞⠊⠍⠁⠇
orchestrate	策劃；安排	⠕⠗⠡⠑⠌⠗⠁⠞⠑
orientation	定向；方向	⠕⠗⠊⠢⠞⠁⠰⠝
ornamental	裝飾的；觀賞的	⠕⠗⠝⠁⠰⠞⠁⠇
outbreak	爆發；突發	⠳⠞⠃⠗⠂⠅
outcome	結果；後果	⠳⠞⠉⠕⠍⠑
outermost	最外面的；最遠的	⠳⠞⠻⠍⠕⠌
overstate	誇大；誇張	⠕⠧⠻⠌⠁⠞⠑
overview	概述；綜覽	⠕⠧⠻⠧⠊⠑⠺
overwhelming	壓倒性的；令人不知所措的	⠕⠧⠻⠱⠑⠇⠍⠬
pacify	安撫；平息	⠏⠁⠉⠊⠋⠽
paradoxical	矛盾的；似是而非的	⠏⠜⠁⠙⠕⠭⠊⠉⠁⠇
particular	特定的；特別的	⠐⠏⠊⠉⠥⠇⠜
pastime	消遣；娛樂	⠏⠁⠎⠐⠞
patch	補丁；修補	⠏⠁⠞⠡
peak	頂峰；最高點	⠏⠂⠅
peculiarity	特點；怪癖	⠏⠑⠉⠥⠇⠊⠜⠰⠽
penetrate	穿透；滲透	⠏⠢⠑⠞⠗⠁⠞⠑
perceptible	可察覺的；顯而易見的	⠏⠻⠉⠑⠏⠞⠊⠃⠇⠑
peril	危險；風險	⠏⠻⠊⠇
perilous	危險的；冒險的	⠏⠻⠊⠇⠳⠎
periodically	定期地；週期性地	⠏⠻⠊⠕⠙⠊⠉⠁⠇⠇⠽
periphery	邊緣；外圍	⠏⠻⠊⠏⠓⠻⠽
perishable	易腐的；易壞的	⠏⠻⠊⠩⠁⠃⠇⠑
permanent	永久的；持久的	⠏⠻⠍⠁⠝⠢⠞
permeate	滲透；瀰漫	⠏⠻⠍⠂⠞⠑
permit	允許；許可證	⠏⠻⠍⠊⠞
perpetual	永久的；不斷的	⠏⠻⠏⠑⠞⠥⠁⠇
persistent	堅持不懈的；持續的	⠏⠻⠎⠊⠌⠢⠞
pertinent	相關的；切題的	⠏⠻⠞⠔⠢⠞
pervasive	無處不在的；普遍的	⠏⠻⠧⠁⠎⠊⠧⠑
phenomenal	非凡的；驚人的	⠏⠓⠢⠕⠍⠢⠁⠇
phenomenon	現象；奇蹟	⠏⠓⠢⠕⠍⠢⠕⠝
piecing	拼接；組合	⠏⠊⠑⠉⠬
pigmentation	色素沉著；染色	⠏⠊⠛⠰⠞⠁⠰⠝
pinnacle	頂峰；頂點	⠏⠔⠝⠁⠉⠇⠑
pinpoint	精確定位；準確描述	⠏⠔⠏⠕⠔⠞
plausible	似乎合理的；可信的	⠏⠇⠁⠥⠎⠊⠃⠇⠑
pledge	保證；誓言	⠏⠇⠫⠛⠑
plentiful	豐富的；充足的	⠏⠇⠢⠞⠊⠰⠇
pliable	柔韌的；易受影響的	⠏⠇⠊⠁⠃⠇⠑
plumage	羽毛；鳥類羽衣	⠏⠇⠥⠍⠁⠛⠑
poisonous	有毒的；有害的	⠏⠕⠊⠎⠕⠝⠳⠎
pollute	汙染；弄髒	⠏⠕⠇⠇⠥⠞⠑
pore	毛孔；仔細研究	⠏⠕⠗⠑
portion	部分；一部分	⠏⠕⠗⠰⠝
pose	造成；擺姿勢	⠏⠕⠎⠑
posit	假設；斷定	⠏⠕⠎⠊⠞
postulate	假定；假設	⠏⠕⠌⠥⠇⠁⠞⠑
potent	強效的；有力的	⠏⠕⠞⠢⠞
potential	潛力；可能的	⠏⠕⠞⠢⠞⠊⠁⠇
practically	幾乎；實際上	⠏⠗⠁⠉⠞⠊⠉⠁⠇⠇⠽
precarious	不穩定的；危險的	⠏⠗⠑⠉⠜⠊⠳⠎
precede	在......之前；領先	⠏⠗⠑⠉⠫⠑
precious	珍貴的；貴重的	⠏⠗⠑⠉⠊⠳⠎
precipitate	促使；使沉澱	⠏⠗⠑⠉⠊⠏⠊⠞⠁⠞⠑
precisely	精確地；恰好	⠏⠗⠑⠉⠊⠎⠑⠇⠽
precision	精確；準確性	⠏⠗⠑⠉⠊⠨⠝
preclude	排除；阻止	⠏⠗⠑⠉⠇⠥⠙⠑
predicament	困境；窘境	⠏⠗⠫⠊⠉⠁⠰⠞
prediction	預測；預言	⠏⠗⠫⠊⠉⠰⠝
predominant	主要的；占優勢的	⠏⠗⠫⠕⠍⠔⠁⠝⠞
preordain	注定；預定	⠏⠗⠑⠕⠗⠙⠁⠔
prerequisite	先決條件；前提	⠏⠗⠻⠑⠟⠥⠊⠎⠊⠞⠑
preserve	保護；保存	⠏⠗⠑⠎⠻⠧⠑
presumable	可能的；可以推測的	⠏⠗⠑⠎⠥⠍⠁⠃⠇⠑
prevailing	盛行的；普遍的	⠏⠗⠑⠧⠁⠊⠇⠬
prevalent	流行的；普遍的	⠏⠗⠑⠧⠁⠇⠢⠞
primarily	主要地；首要地	⠏⠗⠊⠍⠜⠊⠇⠽
primitive	原始的；簡單的	⠏⠗⠊⠍⠊⠞⠊⠧⠑
principle	原則；原理	⠏⠗⠔⠉⠊⠏⠇⠑
prior	之前的；優先的	⠏⠗⠊⠕⠗
pristine	原始的；嶄新的	⠏⠗⠊⠌⠔⠑
prized	珍貴的；寶貴的	⠏⠗⠊⠵⠫
probe	探查；探測	⠏⠗⠕⠃⠑
process	過程；處理	⠏⠗⠕⠉⠑⠎⠎
procure	取得；獲得	⠏⠗⠕⠉⠥⠗⠑
profitable	有利可圖的；賺錢的	⠏⠗⠷⠊⠞⠁⠃⠇⠑
profound	深刻的；意義深遠的	⠏⠗⠷⠨⠙
prohibitive	昂貴的；禁止的	⠏⠗⠕⠓⠊⠃⠊⠞⠊⠧⠑
projection	預測；投影	⠏⠗⠕⠚⠑⠉⠰⠝
proliferation	激增；擴散	⠏⠗⠕⠇⠊⠋⠻⠁⠰⠝
prolifically	多產地；豐富地	⠏⠗⠕⠇⠊⠋⠊⠉⠁⠇⠇⠽
prolong	延長；拖延	⠏⠗⠕⠇⠰⠛
prominent	突出的；重要的	⠏⠗⠕⠍⠔⠢⠞
promise	承諾；前途	⠏⠗⠕⠍⠊⠎⠑
pronounced	明顯的；顯著的	⠏⠗⠕⠝⠳⠝⠉⠫
propagate	繁殖；傳播	⠏⠗⠕⠏⠁⠛⠁⠞⠑
propel	推動；驅使	⠏⠗⠕⠏⠑⠇
property	財產；屬性	⠏⠗⠕⠏⠻⠞⠽
prophecy	預言；預示	⠏⠗⠕⠏⠓⠑⠉⠽
proponent	支持者；倡導者	⠏⠗⠕⠏⠕⠝⠢⠞
propose	提議；求婚	⠏⠗⠕⠏⠕⠎⠑
prosperity	繁榮；昌盛	⠏⠗⠕⠎⠏⠻⠰⠽
prosperous	繁榮的；富裕的	⠏⠗⠕⠎⠏⠻⠳⠎
protest	抗議；反對	⠏⠗⠕⠞⠑⠌
prototype	原型；樣本	⠏⠗⠕⠞⠕⠞⠽⠏⠑
protrude	突出；伸出	⠏⠗⠕⠞⠗⠥⠙⠑
provoke	激怒；引發	⠏⠗⠕⠧⠕⠅⠑
prowess	英勇；高超技藝	⠏⠗⠪⠑⠎⠎
proximity	接近；鄰近	⠏⠗⠕⠭⠊⠍⠰⠽
purify	淨化；使純淨	⠏⠥⠗⠊⠋⠽
purpose	目的；意圖	⠏⠥⠗⠏⠕⠎⠑
pursue	追求；從事	⠏⠥⠗⠎⠥⠑
quarters	住處；四分之一	⠟⠥⠜⠞⠻⠎
radical	激進的；根本的	⠗⠁⠙⠊⠉⠁⠇
ramification	後果；分支	⠗⠁⠍⠊⠋⠊⠉⠁⠰⠝
range	範圍；範圍涵蓋	⠗⠁⠝⠛⠑
rare	稀有的；罕見的	⠗⠜⠑
rate	速率；評價	⠗⠁⠞⠑
readily	樂意地；容易地	⠗⠂⠙⠊⠇⠽
realm	領域；範圍	⠗⠂⠇⠍
rebellion	反叛；叛亂	⠗⠑⠃⠑⠇⠇⠊⠕⠝
rebound	反彈；恢復	⠗⠑⠃⠨⠙
receptacle	容器；接收器	⠗⠑⠉⠑⠏⠞⠁⠉⠇⠑
receptive	樂於接受的；善於接受的	⠗⠑⠉⠑⠏⠞⠊⠧⠑
recharge	充電；恢復精力	⠗⠑⠡⠜⠛⠑
recur	復發；再次出現	⠗⠑⠉⠥⠗
refill	重新裝滿；補充	⠗⠑⠋⠊⠇⠇
refine	提煉；改善	⠗⠑⠋⠔⠑
refreshing	清新的；令人耳目一新的	⠗⠑⠋⠗⠑⠩⠬
refuge	避難所；庇護	⠗⠑⠋⠥⠛⠑
refuse	拒絕；垃圾	⠗⠑⠋⠥⠎⠑
regardless	不管；無論如何	⠗⠑⠛⠜⠙⠨⠎
regulate	調節；管理	⠗⠑⠛⠥⠇⠁⠞⠑
reimburse	報銷；補償	⠗⠑⠊⠍⠃⠥⠗⠎⠑
reject	拒絕；排斥	⠗⠑⠚⠑⠉⠞
relative	相對的；親屬	⠗⠑⠇⠁⠞⠊⠧⠑
relevant	相關的；切題的	⠗⠑⠇⠑⠧⠁⠝⠞
relic	遺物；遺跡	⠗⠑⠇⠊⠉
reluctant	不情願的；勉強的	⠗⠑⠇⠥⠉⠞⠁⠝⠞
remarkable	非凡的；顯著的	⠗⠑⠍⠜⠅⠁⠃⠇⠑
remedy	補救措施；治療法	⠗⠑⠍⠫⠽
remnant	殘餘；剩餘	⠗⠑⠍⠝⠁⠝⠞
remote	遙遠的；偏僻的	⠗⠑⠍⠕⠞⠑
render	使成為；提供	⠗⠢⠙⠻
renowned	著名的；有聲望的	⠗⠢⠪⠝⠫
repercussion	影響；後果	⠗⠑⠏⠻⠉⠥⠎⠨⠝
replacement	替代品；更換	⠗⠑⠏⠇⠁⠉⠑⠰⠞
replicas	複製品；仿製品	⠗⠑⠏⠇⠊⠉⠁⠎
reproduce	再現；繁殖	⠗⠑⠏⠗⠕⠙⠥⠉⠑
repudiate	否認；拒絕	⠗⠑⠏⠥⠙⠊⠁⠞⠑
reputation	聲譽；名聲	⠗⠑⠏⠥⠞⠁⠰⠝
resemblance	相似；相像	⠗⠑⠎⠑⠍⠃⠇⠨⠑
residences	住所；住宅	⠗⠑⠎⠊⠙⠰⠑⠎
residual	剩餘的；殘餘的	⠗⠑⠎⠊⠙⠥⠁⠇
resilient	有彈性的；適應力強的	⠗⠑⠎⠊⠇⠊⠢⠞
restrict	限制；約束	⠗⠑⠌⠗⠊⠉⠞
resuscitation	復甦；搶救	⠗⠑⠎⠥⠎⠉⠊⠞⠁⠰⠝
retain	保留；保持	⠗⠑⠞⠁⠔
retreat	撤退；退卻	⠗⠑⠞⠗⠂⠞
retrieve	取回；恢復	⠗⠑⠞⠗⠊⠑⠧⠑
reveal	揭示；透露	⠗⠑⠧⠂⠇
revenues	收入；收益	⠗⠑⠧⠢⠥⠑⠎
revival	復興；復甦	⠗⠑⠧⠊⠧⠁⠇
revolution	革命；重大變革	⠗⠑⠧⠕⠇⠥⠰⠝
ridiculous	荒謬的；可笑的	⠗⠊⠙⠊⠉⠥⠇⠳⠎
rigidly	嚴格地；僵硬地	⠗⠊⠛⠊⠙⠇⠽
rigorous	嚴格的；嚴厲的	⠗⠊⠛⠕⠗⠳⠎
rise	上升；增長	⠗⠊⠎⠑
ritual	儀式；慣例	⠗⠊⠞⠥⠁⠇
rival	競爭對手；對手	⠗⠊⠧⠁⠇
roam	漫遊；徘徊	⠗⠕⠁⠍
robust	強健的；堅固的	⠗⠕⠃⠥⠌
rotation	旋轉；輪換	⠗⠕⠞⠁⠰⠝
roughly	大約；粗略地	⠗⠳⠣⠇⠽
roundabout	環島；迂迴的	⠗⠨⠙⠁⠃
route	路線；路徑	⠗⠳⠞⠑
rudiment	基本原理；初步	⠗⠥⠙⠊⠰⠞
rudimentary	基本的；初步的	⠗⠥⠙⠊⠰⠞⠜⠽
rupture	破裂；斷裂	⠗⠥⠏⠞⠥⠗⠑
sacred	神聖的；莊嚴的	⠎⠁⠉⠗⠫
satisfied	滿意的；滿足的	⠎⠁⠞⠊⠎⠋⠊⠫
scale	規模；刻度	⠎⠉⠁⠇⠑
scant	缺乏的；不足的	⠎⠉⠁⠝⠞
scarce	稀缺的；不足的	⠎⠉⠜⠉⠑
scatter	散播；分散	⠎⠉⠁⠞⠞⠻
scented	有香味的；芬芳的	⠎⠉⠢⠞⠫
scope	範圍；領域	⠎⠉⠕⠏⠑
scorching	灼熱的；極熱的	⠎⠉⠕⠗⠡⠬
scrap	廢棄；小片	⠎⠉⠗⠁⠏
screen	螢幕；篩選	⠎⠉⠗⠑⠢
scrutinize	仔細檢查；審查	⠎⠉⠗⠥⠞⠔⠊⠵⠑
sculpt	雕刻；塑造	⠎⠉⠥⠇⠏⠞
secrete	分泌；隱藏	⠎⠑⠉⠗⠑⠞⠑
sedentary	久坐的；不活動的	⠎⠫⠢⠞⠜⠽
seething	激昂的；沸騰的	⠎⠑⠑⠹⠬
segment	部分；片段	⠎⠑⠛⠰⠞
seize	抓住；奪取	⠎⠑⠊⠵⠑
separate	分開；獨立的	⠎⠑⠏⠜⠁⠞⠑
serene	平靜的；安詳的	⠎⠻⠢⠑
settled	定居的；穩定的	⠎⠑⠞⠞⠇⠫
severe	嚴重的；嚴厲的	⠎⠑⠧⠻⠑
shallow	淺的；膚淺的	⠩⠁⠇⠇⠪
shape	形狀；塑造	⠩⠁⠏⠑
shatter	打碎；破碎	⠩⠁⠞⠞⠻
sheer	純粹的；陡峭的	⠩⠑⠻
shield	盾牌；保護	⠩⠊⠑⠇⠙
shipment	運輸；裝運	⠩⠊⠏⠰⠞
shiver	顫抖；發抖	⠩⠊⠧⠻
shock	震驚；衝擊	⠩⠕⠉⠅
